ar_or010600#0,"""No.1<br>จงไปเคลียร์ Client order ของ Cofy<br>[Difficulty Unlock I]<br><yellow>*Lv.17~ขึ้นไปถึงจะสามารถทำได้<c>"""
ar_or010601#0,"""No.2 <br>จงไปเคลียร์ Client order ของ Jan<br>[Upgrade your Favorite Items!]"""
ar_or010602#0,"""No.3 <br>จงไปเคลียร์ Client order ของ Jan<br>[Upgrade Elemental Attributes items!]"""
ar_or010603#0,"""No.4 <br>จงไปเคลียร์ Client order ของ Jan<br>[Augmentation your Favorite Items!]"""
ar_or010600#1,"""No.1<br>コフィーのクライアントオーダー<br>「難易度制限解放試練・Ⅰ」の達成<br><br><yellow>※Lv.17～受注可能<c>"""
ar_or010601#1,"""No.2<br>ジャンのクライアントオーダー<br>「愛用品の徹底強化を！」の達成"""
ar_or010602#1,"""No.3<br>ジャンのクライアントオーダー<br>「愛用品の属性強化を！」の達成"""
ar_or010603#1,"""No.4<br>ジャンのクライアントオーダー<br>「愛用品に特殊能力を！」の達成"""
ar_or010600#2,"""Difficulty Unlock I"""
ar_or010601#2,"""Upgrade your Favorite Items!"""
ar_or010602#2,"""Upgrade Elemental Attributes items!"""
ar_or010603#2,"""Augmentation your Favorite Items!"""
ar_or010600#3,"""難易度制限解放試練・Ⅰ"""
ar_or010601#3,"""愛用品の徹底強化を！"""
ar_or010602#3,"""愛用品の属性強化を！"""
ar_or010603#3,"""愛用品に特殊能力を！"""
