st_058070_0010#0,"""這樣的話……！"""
st_058070_0020#0,"""什麼……！？"""
st_058070_0030#0,"""反応、増大中！<br>這樣的……真是沒完沒了！"""
st_058070_0040#0,"""哈哈哈哈哈哈！<br>看到了嗎？看到了嗎？　現在的臉色、撒！<br>真是太精彩了！"""
st_058070_0050#0,"""什麼都不懂啊。<br>不管打倒多少、光子<br>都會溢到外面去吧？"""
st_058070_0060#0,"""我已經得到了全部。<br>再生也好、生成也好、都是可以隨便做出來的。<br>喂、知道吧、哈莉艾特？"""
st_058070_0070#0,"""……嗯、怎麼回事。<br>光子的吸收、好像很遲鈍？"""
st_058070_0080#0,"""……什麼！？"""
st_058070_0090#0,"""哎呀、果然還是怎麼說呢<br>一個人的話、真是很難做到啊……"""
st_058070_0100#0,"""而且那個、連結界用的光子<br>也想吃掉啊……真傷腦筋<br>接下來就是毅力的較量了……！"""
st_058070_0110#0,"""是遮断光子的結界……<br>竟然還有人會用這種東西……<br>……真的、很努力啊。"""
st_058070_0120#0,"""增殖的速度下降了……！？"""
st_058070_0130#0,"""……好機會！"""
st_058070_0140#0,"""我在這裏吸引敵人！<br>守護輝士、直線進攻繭！"""
st_058070_0150#0,"""別死啊！"""
st_058070_0160#0,"""謝謝！"""
st_058070_0170#0,"""慰勞的話要在再會的時候說！<br>現在就互相作爲傳承的存在<br>來尽自己的力量吧！"""
st_058070_0180#0,"""我的力量、是刻在傳承中神代的力量。<br>並且正因為如此、單獨行動<br>是不可能的。"""
st_058070_0190#0,"""……但是、現在就在這裏<br>打破那個誓言吧。"""
st_058070_0200#0,"""我、不是作爲劍之巫女<br>而是作爲阿麗莎＝蘭迪爾<br>……是爲了拯救我的朋友、才在這裏。"""
st_058070_0210#0,"""來吧、邪惡的具現。<br>劍將在這裏、刻下新的傳承！"""
st_058070_0220#0,"""……阿麗莎様。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
