f2#0,"""Emergency Trial [$(0)] ล้มเหลว!"""
f0#0,"""สมาชิก 1 คนในปาร์ตี้ไม่สามารถสู้ต่อได้!"""
f1#0,"""สมาชิกทั้งหมดในปาร์ตี้ไม่สามารถสู้ต่อได้!"""
f4#0,"""หมดเวลา!"""
f3#0,"""ท่านเลือกถอนตัวจากเควส!"""
f5#0,"""จำนวนคนในปาร์ตี้ไม่ตรงกับที่เควสกำหนดไว้!"""
f6#0,"""$(0) ไม่สามารถสู้ต่อได้!"""
f7#0,"""เควสสิ้นสุดลงแล้วโดยปาร์ตี้อื่น!"""
f8#0,"""ท่านไม่สามารถสะสม $(0) Quest Point ได้ตามกำหนดเวลา!"""
f9#0,"""เควสท์สิ้นสุดลงเนื่องจากผู้นำออกไปตอนเริ่มเควส!"""
f10#0,"""ฐานทุกจุดถูกทำลายลงแล้ว!"""
f11#0,"""ปกป้อง Mining Post ล้มเหลว !"""
f2#1,"""エマージェンシートライアル「$(0)」失敗！"""
f0#1,"""パーティーの1人が戦闘不能になった！"""
f1#1,"""パーティー全員が戦闘不能になった！"""
f4#1,"""タイムオーバー！"""
f3#1,"""クエストリタイアを選択した！"""
f5#1,"""パーティー人数がクエスト規定人数ではない！"""
f6#1,"""$(0)が戦闘不能になった！"""
f7#1,"""他のパーティーによってクエストが終了した！"""
f8#1,"""時間内にクエストポイントを$(0)ためられなかった！"""
f9#1,"""クエスト開始時のリーダーが居なくなったので終了します！"""
f10#1,"""全ての拠点が破壊されてしまった！"""
f11#1,"""採掘基地防衛失敗！"""
Test#0,"""Dummy1"""
ApeAnnihilate#0,"""ไปจัดการกับ Zawoodans กันเลย!"""
QueenAnnihilate#0,"""ไปจัดการกับ Briadas กันเลย!"""
WormAnnihilate#0,"""ไปจัดการกับ Caterdrans กันเลย!"""
CollectData#0,"""จู่โจม Nav Rappy!"""
DestroyTarget#0,"""ไปตรวจสอบความผิดปกติกันเลย!"""
GetPoints#0,"""เก็บ Quest Point กันเถอะ!"""
ReachDeep#0,"""รีบไปห้องสุดท้ายกันเถอะ!"""
story_outline_10010#0,"""ฝ่ากลุ่ม D-arker ออกไปกันเลย!"""
story_outline_10020_01#0,"""ฝ่ากลุ่ม D-arker ออกไปกันเลย!"""
story_outline_10020_02#0,"""ค้นหาที่มาของเสียงผิดปกตินั่นกันก่อนเถอะ!"""
story_outline_10020_03#0,"""ค้นหาที่มาของเสียงผิดปกตินั่นกันก่อนเถอะ!"""
story_outline_10030_01#0,"""ไปรวบรวมตัวอย่างกันก่อนเถอะ!"""
story_outline_10030_02#0,"""ไล่ตามบุคคลน่าสงสัยไป!"""
story_outline_10040_01#0,"""ตามหา Lagomite กันก่อนเลย!"""
story_outline_10040_02#0,"""ตามหา Lagomite กันก่อนเลย!"""
story_outline_10050_01#0,"""ติดต่อกับ Dragorii กันก่อนเลย!"""
story_outline_10050_02#0,"""ติดต่อกับ Dragorii กันก่อนเลย!"""
story_outline_10060_01#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
story_outline_10060_02#0,"""เน้นการคุ้มกันพวก Lagomite เอาไว้!"""
story_outline_10070_01#0,"""สำรวจ Skyscape ทั้งหมด!"""
story_outline_10070_02#0,"""รีบไปหาคนที่รออยู่ก่อนเดี๋ยวนี้!"""
story_outline_10080#0,"""กำจัดผู้บุกรุก D-arkers!"""
story_outline_10080_02#0,"""มุ่งหน้าไปยัง Residential Area !"""
story_outline_10090_01#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
story_outline_10090_02#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
story_outline_10090_03#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
story_outline_10090_04#0,"""เปลี่ยนแปลงประวัติศาสตร์!"""
story_outline_10100_01#0,"""จับ Dragorii Haddred!"""
story_outline_10100_02#0,"""จับ Dragorii Haddred!"""
story_outline_10110_01#0,"""ไปพบกับ Kuhna!"""
story_outline_10120#0,"""รวบรวม Score Point กันก่อน!"""
story_outline_10130_01#0,"""ตามหาเพื่อนพ้องของ Cabracan!"""
story_outline_10130_02#0,"""อยู่ใกล้ๆ Theodor แล้วบุกเข้าไปด้านใน!"""
story_outline_10140_01#0,"""ตามหา Ro'Kamiz!"""
story_outline_10140_02#0,"""เข้าไปพร้อม Sarah!"""
story_outline_10150_01#0,"""ลาดตระเวน Abandoned Mine"""
story_outline_10150_02#0,"""ค้นหาไปพร้อมกับ Afin"""
story_outline_10160_01#0,"""ทำภารกิจสำรวจสิ่งก่อสร้างบน Sea Bed !"""
story_outline_10160_02#0,"""ทำภารกิจสำรวจ Sea Bed !"""
story_outline_10170_01#0,"""เดินทางพร้อมกับ Melfon !"""
story_outline_10180_01#0,"""รีบไปพบ Xion !"""
story_outline_10175_01#0,"""รีบไปพบเธอที่ส่วนลึกสุดเพียงลำพัง !"""
freefield_outline_20010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
freefield_outline_20020#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
freefield_outline_20030#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
freefield_outline_20040#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
freefield_outline_20050#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
freefield_outline_20060#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
freefield_outline_20070#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
freefield_outline_20080#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
freefield_outline_20090#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
freefield_outline_20100#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
freefield_outline_20110#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
arks_outline_30010#0,"""จัดการ Zawoodans เลย!"""
arks_outline_30015#0,"""จัดการ Phongalphs เลย!"""
arks_outline_30020#0,"""จู่โจม Nav Rappy!"""
arks_outline_30030#0,"""เก็บ Quest Point กันเถอะ!"""
arks_outline_30040#0,"""จัดการ Fangbanthers เลย!"""
arks_outline_30050#0,"""เก็บ Quest Point กันเถอะ!"""
arks_outline_30060#0,"""ไปจัดการกับ Carthagos กันเลย!"""
arks_outline_30070#0,"""จัดการ Caterdran เลย!"""
arks_outline_30080#0,"""เก็บ Quest Point กันเถอะ!"""
