name01#0,"""Astalte"""
text01#0,"""ภารกิจปัจจุบันของท่านคือ......"""
11_voice_shop_414#0,"""<c bb0000>ดำเนินการแยกส่วนประกอบไอเทมของ Craft<c><br>ที่ My Room Terminal"""
text03#0,"""ท่านจะสามารถได้รับไอเทมที่ใช้<br>เฉพาะกับการ Craft ได้ด้วยการ<br>แยกส่วนประกอบไอเทม"""
text04#0,"""เพียงแต่ว่า ไอเทมอาวุธหรือยูนิตที่จะ<br>สามารถทำการแยกส่วนประกอบได้นั้น<br>จำต้องเป็นไอเทม Rarity 7 ขึ้นไปเท่านั้น"""
text05#0,"""แต่หากเป็น Disc จำต้องเป็น Disc Lv.11<br>ขึ้นไปเท่านั้น กรุณาระมัดระวังด้วย"""
name01#1,"""アスタルテ"""
text01#1,"""現在の貴方の目標は……"""
11_voice_shop_414#1,"""マイルーム端末から<br><c bb0000>アイテム分解を実行する<c>事です。"""
text03#1,"""アイテムを分解する事で<br>クラフト用のアイテムを<br>得る事ができます。"""
text04#1,"""ただし、アイテム分解が<br>実行可能なのは武器・ユニットなら<br>レアリティが７以上のアイテムです。"""
text05#1,"""ディスクならレベル11以上が対象と<br>なります。ご注意下さい。"""
