name_7656#0,"""セグレット"""
ssn_005050_0001#0,"""はじめまして……お会いできて嬉しいです……。"""
ssn_005050_0002#0,"""これからよろしくお願いします……。"""
ssn_005050_0101#0,"""武器の“潜在能力”……って、<br>知ってます……？"""
ssn_005050_0051#0,"""もし知らなければ……教えましょうか……？"""
ssn_005050_0052#0,"""はい……。それでは……ご説明します。"""
ssn_005050_0102#0,"""それぞれの武器には……、<br>秘められた能力が……あります。"""
ssn_005050_0103#0,"""ある程度、武器を強化すると……、<br>その潜在能力を……解放することが……できます。"""
ssn_005050_0104#0,"""一度試してみると……いいでしょう。"""
ssn_005050_0105#0,"""ただ……、潜在能力を解放するには……、<br>フォトンの“鉱石”が……必要です……。"""
ssn_005050_0106#0,"""素材を集めて……、<br>アイテムラボに……行ってみて下さい。"""
ssn_005050_0201#0,"""潜在能力……解放してみていかがですか……。"""
ssn_005050_0202#0,"""強化した武器と……、<br>触媒の“鉱石”……。"""
ssn_005050_0203#0,"""どの武器に……、どんな能力が……、<br>秘められているんでしょう……。"""
ssn_005050_0204#0,"""……いろいろ、<br>試してみて……ください。"""
ssn_005050_0301#0,"""そうですか……。<br>興味がわいたら……また声をかけてください……。"""
