REPORT_GOOD_FAV4#0,"""マスターの期待に<br>応えられるよう、頑張りました。"""
REPORT_GOOD_FAV3#0,"""満足いただける成果が<br>残せたと思います。"""
REPORT_GOOD_FAV2#0,"""探索の成果報告としては<br>成功、と言えるでしょう。"""
REPORT_GOOD_FAV1#0,"""探索成功、と言って<br>差し支えのない成果です。"""
REPORT_GOOD_FAV0#0,"""探索、成功しました。"""
REPORT_GOOD_FAV4#1,"""今回は自信があるんだ<br>君も満足してくれるんじゃないかな！"""
REPORT_GOOD_FAV3#1,"""十分な成果だと思うんだけど<br>どうかな？"""
REPORT_GOOD_FAV2#1,"""おおむね成功って感じかな？<br>まあ見ておくれよ。"""
REPORT_GOOD_FAV1#1,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#1,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#2,"""ど、どうでしょうか……<br>あなたの力になりたくて<br>精一杯頑張ってみたんですけど……"""
REPORT_GOOD_FAV3#2,"""が、がんばりました！<br>成果も出ていると思うんですが<br>……どうでしょうか？"""
REPORT_GOOD_FAV2#2,"""全体的には成功だと思います。<br>成功……ですよね？"""
REPORT_GOOD_FAV1#2,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#2,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#3,"""この成果には自信がある。<br>お前のために、頑張ったからな。"""
REPORT_GOOD_FAV3#3,"""期待には応えられたと思うが<br>どうだろうか？"""
REPORT_GOOD_FAV2#3,"""まずまずといったところか。<br>成果的としては、成功だろう。"""
REPORT_GOOD_FAV1#3,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#3,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#4,"""結果は見事、大成功ーっ！<br>あんたのためだもん<br>めっちゃくちゃ頑張ったっての！"""
REPORT_GOOD_FAV3#4,"""期待以上の結果、ってところだ！<br>へへっ、褒めてくれてもいいんだぜ？"""
REPORT_GOOD_FAV2#4,"""オレにかかればこのぐらい<br>ちょろいもんだぜ！"""
REPORT_GOOD_FAV1#4,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#4,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#5,"""いかがでしょう。<br>ご満足いただけるよう<br>力を尽くしたつもりです。"""
REPORT_GOOD_FAV3#5,"""貴方のご期待に応えることが<br>できていれば、いいのですが<br>いかがでしょう？"""
REPORT_GOOD_FAV2#5,"""成果としては、成功だと思います。<br>いかがでしょう？"""
REPORT_GOOD_FAV1#5,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#5,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#6,"""当然ながら、大成功！<br>あなたに期待されちゃったら<br>頑張るしかないもんねー！"""
REPORT_GOOD_FAV3#6,"""抜かりなし！\u3000成功だよっ！<br>褒めて、褒めて！"""
REPORT_GOOD_FAV2#6,"""あたしの手にかかれば<br>おちゃのこさいさいだよっ！"""
REPORT_GOOD_FAV1#6,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#6,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#7,"""成果？\u3000当然、成功に決まってる。<br>……お前の期待を<br>裏切るわけにはいかないから。"""
REPORT_GOOD_FAV3#7,"""成果は十分、もちろん成功さ。<br>わたしはお前のサポートパートナーだ。<br>このぐらい、当然だろ？"""
REPORT_GOOD_FAV2#7,"""わたしが動いたんだ。<br>成功以外、ありえないよ。"""
REPORT_GOOD_FAV1#7,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#7,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#8,"""ふふっ、きみの期待に応えるため<br>ボク、すっごく頑張ったんだから。<br>……褒めてくれても、いいよ？"""
REPORT_GOOD_FAV3#8,"""きみの期待に応えられたかな？<br>応えられてると、いいな。"""
REPORT_GOOD_FAV2#8,"""ボクだって、やるときはやるよ。<br>……ちゃんとできてるよね？"""
REPORT_GOOD_FAV1#8,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#8,"""REPORT_GOOD_FAV0<br>Debug_Error"""
