un_064090_0001#0,"""A.P.242/3/20/11:00"""
un_064090_0010#0,"""ううっ、ぐすっ……"""
un_064090_0020#0,"""落ち着きましたか、ルコ？"""
un_064090_0030#0,"""……では、話せ。<br>５年前のあの日……何があった？"""
un_064090_0040#0,"""任務中、わたくしは市街地の外れで<br>とある古いお屋敷を見つけましたの。<br>無人で放棄された、素敵なお屋敷でした。"""
un_064090_0050#0,"""わたくしは、そのお屋敷に<br>ストラトスとキョーさんをご招待して<br>おもてなししようと思いましたの。"""
un_064090_0060#0,"""それで、お二人に招待状を書きました。<br>「街外れのお屋敷にきてください」と……<br>理由は書かず、サプライズのつもりで。"""
un_064090_0070#0,"""そして、ご招待した当日……<br>わたくしは、サプライズのために<br>お屋敷に裏口から入りました。"""
un_064090_0080#0,"""すると、なぜか……<br>お屋敷の内部に、多数の捕縛トラップが<br>仕掛けられていたんですの！"""
un_064090_0090#0,"""抵抗する間もなく<br>不意を突かれたわたくしは気絶し……<br>何者かに、連行されました。"""
un_064090_0100#0,"""ですから、その後<br>お屋敷で何が起きたかは存じませんの。<br>わたくしが、目を覚ました場所は……"""
un_064090_0110#0,"""当時、まだ公式には知られていなかった<br>惑星ウォパル。その海底に存在していた<br>虚空機関の実験施設にいました。"""
un_064090_0120#0,"""わたくしは、そこで延々と……<br>虚空機関がダーカー因子増殖実験のため<br>作った改造生物たちと戦わされ……"""
un_064090_0130#0,"""虚空機関……だと！？<br>だがあそこは３年前に解体されたはず。<br>その後、お前は……？"""
un_064090_0140#0,"""戦闘データ収集のため完全自動化された<br>実験施設は、虚空機関の解体後も稼働。<br>救助の直前まで、わたくしは戦い……"""
un_064090_0150#0,"""その後、六芒均衡のマリアさまが<br>ウォパル探索時、実験施設を発見され<br>わたくしは救助されましたの。"""
un_064090_0160#0,"""ですが……わたくしが戦い続けたのは<br>ダーカー因子増殖実験の改造生物たち。"""
un_064090_0170#0,"""発見された時、わたくしの体には<br>すでに、絶望的な量のダーカー因子が<br>蓄積していたそうですの。"""
un_064090_0180#0,"""そ、そんな……！"""
un_064090_0190#0,"""マリアさまが仰るには<br>ダーカーに成り果てる寸前の状態で<br>少し遅れていたら助からなかったと。"""
un_064090_0200#0,"""クッ……なぜだ！<br>なぜお前が、そんな目に……！"""
un_064090_0210#0,"""……メイドの仕事中、ある筋から<br>虚空機関の非人道的な実験の噂を聞いて<br>単独で調査していたから……ですわ。"""
un_064090_0220#0,"""それがどこかで虚空機関に気づかれ……<br>邪魔者として、目を付けられた。"""
un_064090_0230#0,"""ストラトスとキョーさんを<br>お屋敷に閉じ込めて、火を放ったのも<br>虚空機関の証拠隠滅でしょう……"""
un_064090_0240#0,"""わたくしだけでなく、二人まで<br>危険な目に合わせていたなんて……"""
un_064090_0250#0,"""ほんとうに……<br>ごめんなさいですの……"""
un_064090_0260#0,"""そんな！<br>悪いのは、ぜんぶ虚空機関です！<br>ルコは、なにも悪くありません！"""
un_064090_0270#0,"""それで、マリアに助けられた後<br>連絡を寄越さなかったのはなぜだ？<br>今まで、なにをしていた？"""
un_064090_0280#0,"""救助されたわたくしのダーカー侵食度は<br>絶望的で、アークスが知れば処分も……<br>マリアさまは、そう思われました。"""
un_064090_0290#0,"""でも、わずかに助かる可能性があり……<br>それに賭けてみることになりましたの。<br>マスターなら、お気づきでしょう？"""
un_064090_0300#0,"""コールドスリープ……？"""
un_064090_0310#0,"""安静にする……？"""
un_064090_0320#0,"""はいですの……<br>マスターも使われたことがある<br>コールドスリープですわ。"""
un_064090_0330#0,"""ち、ちがいますの！<br>マスターも使われたことがある<br>コールドスリープですわ。"""
un_064090_0340#0,"""……ダーカー因子の除去を目的として<br>当時、開発中だったコールドスリープを<br>非公式に使う、と仰ってくださって。"""
un_064090_0350#0,"""チッ……<br>だから、助けられた後も生死を偽り<br>闇に潜んで回復を待った、と……？"""
un_064090_0360#0,"""はいですの。<br>コールドスリープは問題なく動作……<br>３年かけて、浄化に成功しましたの。"""
un_064090_0370#0,"""目覚めた後は<br>また二人に会えることを楽しみに<br>リハビリを続けていましたが……"""
un_064090_0380#0,"""急に……怖くなってしまって。"""
un_064090_0390#0,"""……怖い？\u3000何がだ？"""
un_064090_0400#0,"""ダーカー侵食された、わたくしを……<br>二人が拒絶することが、です。"""
