name_7201#0,"""ソミュア"""
ssn_005010_0001#0,"""このセントラルシティは、<br>ドールズとの戦いの重要な拠点となっています。"""
ssn_005010_0002#0,"""たくさんのアークスが集まっていますので、<br>積極的に交流してみてください。"""
ssn_005010_0051#0,"""そのコクーンを、見つけるのに便利な方法があるのですが、<br>もしよければお教えしましょうか？"""
ssn_005010_0052#0,"""では、説明しましょう。"""
ssn_005010_0101#0,"""コクーンについては知っていますね？<br>そうです、アークスが訓練を行う施設です。"""
ssn_005010_0102#0,"""コクーンを探すには、マグの機能のひとつ、<br>“アクティブソナー”を使うと見つけやすいですよ。"""
ssn_005010_0103#0,"""ソナーは、コクーンなどに近づくと音波を発して、<br>その位置を知らせてくれます。"""
ssn_005010_0104#0,"""今、私の知っているコクーンの場所を、<br>そちらのマグに転送しました。"""
ssn_005010_0105#0,"""ソナーの機能を確認しつつ、<br>ついでにコクーンで腕試しもしてみてください。"""
ssn_005010_0106#0,"""それでは、いってらっしゃい。"""
ssn_005010_0201#0,"""お疲れさまでした。<br>アクティブソナーの機能は、実感できましたか？"""
ssn_005010_0202#0,"""積極的に活用して、<br>コクーンでのスキルアップを目指してください。"""
ssn_005010_0203#0,"""頑張ってくださいね。"""
ssn_005010_0301#0,"""そうですか……。<br>もし知りたくなったら、また来てください。"""
