ssn_014820_0001#0,"""いいところに来てくれた。"""
ssn_014820_0002#0,"""私からアドバイスしておきたいことがあるのだが、<br>よければ聞いてもらえるか。"""
ssn_014820_0101#0,"""クエストカウンターでは、各々のマグのデータを介して、<br>過去あったことが追体験できる。"""
ssn_014820_0102#0,"""ほかにも、かつての戦いの記録をもとにして、<br>新たな戦いをシミュレートしたりもできるようだ。"""
ssn_014820_0103#0,"""実戦とは感覚の異なる部分もあるとは思うが、<br>そうしたものから学べることもあるだろう。"""
ssn_014820_0104#0,"""百聞は一見に如かずだ。経験を積みたいクラスで、<br>クエストカウンターに向かってくれ。"""
ssn_014820_0201#0,"""そうか、<br>話を聞きたくなったら、また来てくれ。"""
ssn_014820_0301#0,"""クエストカウンターでは、各々のマグのデータを介して、<br>過去あったことが追体験できる。"""
ssn_014820_0302#0,"""キミの過去の経験は、<br>“アークスヒストリー”として記録されている。"""
ssn_014820_0303#0,"""戦闘シミュレーションも試してみてほしい。<br>それでは、頑張ってくれ。"""
ssn_014820_1001#0,"""キミか。<br>いいところに来てくれた。"""
ssn_014820_1002#0,"""新たな遠征に際して、教えておきたいことがある。<br>よければ聞いてもらえるだろうか。"""
ssn_014820_1101#0,"""そうか、<br>話を聞きたくなったら、また来てくれ。"""
ssn_014820_1201#0,"""リーディアのほかにも、<br>各拠点に情報を提供してくれる者がいる。"""
ssn_014820_1202#0,"""積極的に話しかけて、教わったことを今後に活かしてくれ。<br>では、健闘を祈っているぞ。"""
