text01#0,"""テキストがまだないので仮です１"""
text03#0,"""テキストがまだないので仮です２"""
text02#0,"""テキストがまだないので仮です３"""
text10#0,"""【深遠なる闇】との戦いを始める"""
text20#0,"""準備を整える"""
ep5test01#0,"""ep5スキット1"""
ep5test02#0,"""ep5スキット2"""
sq00_010#0,"""ところでみんな、僕の姿を見て<br>何か言うことがあるんじゃないかな。"""
sq00_020#0,"""まあ、今はそういう事態でもないし<br>落ち着いてからでもいいけどさ。"""
sq01_010#0,"""【双子】の中から戻ってきたときといい<br>君はあれだね、突然戻ってくるのが<br>一つの能力と言えるのかもね。"""
sq01_020#0,"""演算とかでは計り知れないよ。<br>君という存在は、計算の外にある。<br>……だからこそ、見てて面白いんだ。"""
sq02_010#0,"""ルーサーがいたことよりも<br>まず、あの世界が存在すること<br>それ自体がおかしいんだ。"""
sq02_020#0,"""何があっても、誰がいても<br>驚くようなことじゃない。<br>というか、驚く場合じゃない、かな。"""
sq02_030#0,"""むしろ相手の性格がわかってるから<br>立ち回りやすかったりするかもね。<br>どこまで同じかはわからないけど。"""
