st_052050_0010#0,"""この度のご助力、皆を代表しまして<br>深く感謝申し上げます。"""
st_052050_0020#0,"""１．当然の行いだよ"""
st_052050_0030#0,"""２．それより、あの敵は何？"""
st_052050_0040#0,"""<%me>さんの仰るとおり<br>アークスには当然の行いです。"""
st_052050_0050#0,"""そんなことよりも<br>魔神城のことが気になります。<br>それに、破界塔も。"""
st_052050_0060#0,"""それそれ、それです。<br>私もずっと気になってました。<br>それとあの、破界塔っていうのも。"""
st_052050_0070#0,"""まず魔神城についてです。<br>ずーっと敵を生みだし続けていた<br>あれは砦……？\u3000それとも生物？"""
st_052050_0080#0,"""城とも言えますし、生物とも言えます。<br>無尽蔵に魔物を喚び続ける、生きた要塞。<br>……その名を、魔神城。"""
st_052050_0090#0,"""大規模召喚術によって召喚された<br>世界に刺さる悪しき楔です。"""
st_052050_0100#0,"""召喚、術？"""
st_052050_0110#0,"""異界より使役獣を喚び出す<br>魔術の一種です。"""
st_052050_0120#0,"""この世界には魔術というものがあります。"""
st_052050_0130#0,"""大気に存在するマナを用いて<br>超常的な現象を引き起こす、技術です。"""
st_052050_0140#0,"""……ふむ、私達でいうところの<br>フォトンとテクニック<br>みたいなものでしょうか。"""
st_052050_0145#0,"""先ほどの魔神城や破界塔の<br>分析が簡単にできたのは<br>ルーツが似てるからなのかもですね。"""
st_052050_0150#0,"""人ひとりが扱えるマナの量には限界があり<br>魔術の性能は常識的な範囲に<br>収まっていました。"""
st_052050_0160#0,"""……この「エフィメラ」が<br>発生するまでの間は。"""
st_052050_0170#0,"""このエフィメラは、数十年前から<br>世界中に咲くようになりました。<br>種もつけず、ただ花だけを咲かせます。"""
st_052050_0180#0,"""そしてこれが、魔術の触媒として<br>非常に有用であることがわかりました。"""
st_052050_0190#0,"""ある国は、身体強化魔術を特化させ<br>ある国は心操の秘薬調合に用い<br>またある国は、増殖の秘術を編み出し……"""
st_052050_0200#0,"""そして、我が国は<br>召喚術に光を見出しました。"""
st_052050_0210#0,"""魔神城は、召喚技術の極致です。<br>周囲のエフィメラを喰らい尽くして<br>召喚されれば、その場に楔のように留まる。"""
st_052050_0220#0,"""強固な魔神結界を自身の周囲に展開し<br>迎撃のために、魔物を無尽蔵に召喚する。<br>さらに、魔神城自体も強大な戦闘力を持つ。"""
st_052050_0230#0,"""どのような魔術を用いても、人間の力で<br>この要塞を攻略、突破することは<br>ほぼ不可能と言えました。"""
st_052050_0240#0,"""ひとたび召喚されれば、その場に存在する<br>マナとエフィメラを喰らい尽くすので<br>新たな魔神城召喚も不可能。"""
st_052050_0250#0,"""それってつまり、魔神城を<br>喚びだした者勝ち、ってことですか。"""
st_052050_0260#0,"""はい。<br>この世界の戦は、魔神城の発生と共に<br>完全に、様変わりしてしまいました。"""
st_052050_0270#0,"""それを打破するために<br>生み出されたのが、召喚術「破界塔」。"""
st_052050_0280#0,"""さっきの戦闘で<br>使用した、アレですね。"""
st_052050_0290#0,"""大気中のマナを束ね、魔神城の展開する<br>魔神結界を砕くためだけの攻城兵器。"""
st_052050_0300#0,"""ただ、その制御には大量のマナが必要。<br>エフィメラなしの我々には、とうてい<br>扱いきれませんでした。"""
st_052050_0310#0,"""しかし、<%me>さんは<br>それを扱うことができた。<br>そして魔神城を撃破することができた。"""
st_052050_0320#0,"""魔術はマナを、技術には努力を……<br>力を使うには、代償が必要です。"""
st_052050_0330#0,"""何の代償もなしに<br>これほど規格外の力を<br>使えていいわけがない……"""
st_052050_0340#0,"""今、世界で起こっている国のにらみ合いも<br>我が国で起こったクーデターも……<br>すべて、エフィメラに起因しています。"""
st_052050_0350#0,"""世界を狂わす蜜を持つ、魔性の花。<br>私達の目的は、これを排除し、国を……<br>いえ、世界を平和に戻すことです。"""
st_052050_0360#0,"""世界平和とは、大がかりですね……<br>……でも、あながちハズレとも<br>言い切れないのが、なんとも。"""
st_052050_0370#0,"""ハリエットさん、その花<br><%me>さんに<br>渡していただけますか？"""
