un_055030_0010#0,"""……おい。<br>あの新参者を追い出せ。<br>目障りだ。"""
un_055030_0020#0,"""新参者、とは的外れなことを言う。<br>僕はフォトナーだ、君などより<br>はるかに長い時を重ねている。"""
un_055030_0030#0,"""年が上なら位も上ってかァ？<br>風貌以上に頭のめでてェ奴だな。"""
un_055030_0040#0,"""君、声も図体も無駄に大きいね。<br>君を見ただけで、アークスはとても<br>無駄な進化を遂げてきたと断言できる。"""
un_055030_0050#0,"""ハッ、どこかの管理者気取って<br>調子乗ってた敗者野郎のお陰だな？<br>なぁ、そう思わねえか？"""
un_055030_0060#0,"""まったくもって。<br>これは僕の管理責任だろうねえ。<br>この場で断じねば気が済まないほどに。"""
un_055030_0070#0,"""あの……"""
un_055030_0080#0,"""うるさいんですけど……"""
un_055030_0090#0,"""テメェには関係ねェ！<br>すっこんでろ！"""
un_055030_0100#0,"""はは、自分で頼っておきながら<br>今度は関係ない、と来たか。<br>発言に一貫性がない、愚かの極みだ。"""
un_055030_0110#0,"""その醜悪さ、目に余る。<br>流石は【巨躯】に<br>見初められた素体だねえ。"""
un_055030_0120#0,"""ゴチャゴチャうるせェんだよ、敗北者！<br>その名の通りにしてやるから<br>さっさとかかって来やがれ！"""
un_055030_0130#0,"""……会話の終了には同意だ。<br>不毛を超え、度し難い。"""
un_055030_0140#0,"""二人とも追い出すよ"""
un_055030_0150#0,"""シャオに話すよ"""
un_055030_0160#0,"""…………"""
un_055030_0170#0,"""…………"""
un_055030_0180#0,"""……ま、度し難いとはいえ<br>君のような存在は、レアだ。"""
un_055030_0190#0,"""宿主の意向もある。<br>しばらくの同席を許可しよう。"""
un_055030_0200#0,"""……いいだけ吠えてろ、クソが！"""
name01#0,"""ゲッテムハルト"""
name02#0,"""ルーサー"""
