name01#0,"""시에라"""
11_voice_train_04001#0,"""안녕하세요!<br>이번에는「텍터의 기초」에<br>관해 훈련하도록 해요!"""
text02#0,"""<red>완드 기어<c>에 관하여<br>설명 드릴게요!"""
text03#0,"""완드 기어의 단계가 오르면<br><red>완드로 타격 시 추가로<br>법격 폭발<c>이 발생해요."""
text04#0,"""그럼 <red>기어를 채워서<c><br>법격 폭발을 발생시켜 보세요."""
text101#0,"""과제1：<yellow>기어を1단계 이상 올린 후 법격 폭발"""
train_title#0,"""과제1：<yellow>기어を1단계 이상 올린 후 법격 폭발"""
tut_title#0,"""『완드 기어』에 관하여"""
text100#0,"""・<%PhotonArts>로 테크닉을 사용해 기어를 채우기<br>・<%NormalAttack>로 통상공격을 맞추면 법격 폭발"""
text100_3b#0,"""・<%PhotonArts>로 테크닉을 사용해 기어를 채우기<br>・<%NormalAttack>로 통상공격을 맞추면 법격 폭발"""
tut_win_title#0,"""『완드 기어』에 관하여"""
tut_win_text100#0,"""클래스 스킬「완드 기어」를<br>습득하면 완드의 성능을<br>한 층 더 끌어올릴 수 있습니다.<br><br>차지 테크닉을 맞추면<br>기어2, 기어3으로 상승합니다.<br><br>완드 기어의 단계에 따라<br>통상공격에 추가 데미지가 발생합니다."""
