st_058170_0010#0,"""……おーわったぁーっ！"""
st_058170_0020#0,"""……終わったな。"""
st_058170_0030#0,"""なんだい、もう終わりかい？<br>アタシもラビュリスも<br>まだ暴れたりないってのに。"""
st_058170_0040#0,"""はは、相変わらずリーちゃんは<br>血気盛んで元気だねえ。<br>わたしはもうくたくただよ。"""
st_058170_0050#0,"""……我々の役目は終わった。<br>帰投するぞ、マリア。"""
st_058170_0060#0,"""あ…………"""
st_058170_0070#0,"""……ありがとね、ギーくん。"""
st_058170_0080#0,"""おおっと手がすべったあ！"""
st_058170_0090#0,"""何をする、マリア。"""
st_058170_0100#0,"""ったく、めんどくさい爺だ。<br>今更恥ずかしがるような年でもないだろ。"""
st_058170_0110#0,"""話すのに、相手の姿が必要か？<br>その程度の繋がりじゃないだろ<br>アンタとアルマは。"""
st_058170_0120#0,"""あーあ、っと。<br>なんだか物足りないから<br>サラでも鍛えてくるかなー。"""
st_058170_0130#0,"""ギーくん……"""
st_058170_0140#0,"""……わかっていないのは<br>お前だ、マリア。"""
st_058170_0150#0,"""私と彼女には、会話すら不要。<br>……そうだろう、アルマ？"""
st_058170_0160#0,"""……ふふっ、そうかなあ？<br>女心は、そう簡単じゃあ<br>ないかもしれないよ、レギアスくん。"""
skit01#0,"""The Saviors"""
skit02#0,"""かくて英雄は此処に集う"""
name01#0,"""？？？"""
name02#0,"""？？？"""
