MissionProgress#0,"""簡易ミッション情報"""
MissionOrder#0,"""クライアントオーダー"""
MissionBoard#0,"""アークスミッション"""
MissionWebLink#0,"""WEBページリンク(仮"""
MissionWebSubheading#0,"""開催中のキャンペーン(仮"""
MissionProgressTab#0,"""進行中"""
MissionRecievedTab#0,"""受け取り済み"""
MissionSqueezeNew#0,"""新着のみ表示"""
MissionRecieveAll#0,"""全て受け取る"""
MissionRecieveAll_P#0,"""<%MultiSelect>全て受け取る"""
MissionRecieveAll_V#0,"""全て受け取る"""
MissionReciveOne#0,"""<%AcceptK>で報酬を受け取る"""
MissionReciveOne_P#0,"""<%AcceptP>で報酬を受け取る"""
MissionReciveOne_V#0,"""<%AcceptV>で報酬を受け取る"""
MissionTrack#0,"""<pict Arksroicon>追跡中"""
MissionTracking#0,"""<%AcceptK>で目的地を表示する"""
MissionTracking_P#0,"""<%AcceptP>で目的地を表示する"""
MissionTracking_V#0,"""<%AcceptV>で目的地を表示する"""
MissionTracking_OFF#0,"""<%AcceptK>で目的地の表示をやめる"""
MissionTracking_OFF_P#0,"""<%AcceptP>で目的地の表示をやめる"""
MissionTracking_OFF_V#0,"""<%AcceptV>で目的地の表示をやめる"""
MissionDetail#0,"""ミッション詳細"""
MissionTimeLimitCampaign1#0,"""キャンペーン終了\u3000$(0)"""
MissionTimeLimitCampaign2#0,"""受け取り期限\u3000$(0)"""
MissionTimeLimitEvent#0,"""有効期限\u3000$(0)"""
MissionTimeLimitEtc#0,"""有効期限\u3000$(0)"""
MissionTimeLimitUnlimited#0,"""有効期限\u3000なし"""
MissionDetail_limited_Issue#0,"""<c ff4f3f>※アイテムはアカウントにつき1回のみ受け取れます。<c>"""
MissionDetail_limited_Issue_Received#0,"""※アカウント制限のアイテムは受け取り済みです。"""
MissionDetail_Repeat_Issue#0,"""※このミッションは<pict repeat>繰り返しプレイが可能です。"""
MissionDetail_Repeat_CoolDown#0,"""※再プレイ可能\u3000$(0)"""
MissionDetailSwitching#0,"""<pict Key_SHIFT>キーでアイテム詳細を表示"""
MissionDetailSwitching_P#0,"""<%Function>でアイテム詳細を表示"""
MissionDetailSwitching_V#0,"""<pict Sign_TRIANGLE>でアイテム詳細を表示"""
MissionDetail_MissionDetail#0,"""有効期限/目的詳細"""
MissionRewardDetail#0,"""アイテム詳細"""
MissionRewardDetailSwitching#0,"""<pict Key_SHIFT>キーでミッション詳細を表示"""
MissionRewardDetailSwitching_P#0,"""<%Function>でミッション詳細を表示"""
MissionRewardDetailSwitching_V#0,"""<pict Sign_TRIANGLE>でミッション詳細を表示"""
MissionCampaignLink#0,"""<%ChangeCtrlWindowForward>でWEBページへ"""
MissionCampaignLink_P#0,"""<%WEBLinkP>でWEBページへ"""
MissionRewardCampaignDetail#0,"""キャンペーン達成報酬一覧"""
MissionRewardCampaignSwitching#0,"""<pict Key_SHIFT>キーでキャンペーン報酬一覧を表示"""
MissionRewardCampaignSwitching_P#0,"""<%Function>キーでキャンペーン報酬一覧を表示"""
MissionRewardCampaignSwitching_V#0,"""<pict Sign_TRIANGLE>キーでキャンペーン報酬一覧を表示"""
MissionBoardOpen#0,"""<pict Sign_SQUARE>でアークスミッションへ"""
MissionBoardOpen_P#0,"""<%MissionShortCutP>でアークスミッションへ"""
MissionBoardOpen_V#0,"""<%MissionShortCutV>でアークスミッションへ"""
MissionHeldCampaign#0,"""開催中のキャンペーン"""
MissionWebLinkOpen#0,"""<%ChangeCtrlWindowForward>でWEBページリンク選択へ"""
MissionWebLinkOpen_P#0,"""<%ChangeWindowActiveP>でWEBページリンク選択へ"""
MissionRate#0,"""$(0)%"""
MissionRateMax#0,"""<yellow>達成<c>"""
Missionlist#0,"""ミッション一覧"""
MissionTimeLimitHead#0,"""更新日時"""
MissionDaily#0,"""デイリーミッション"""
MissionDailyLimit#0,"""毎日<utc>15:00</utc>"""
MissionWeekly#0,"""ウィークリーミッション"""
MissionWeeklyLimit#0,"""<utcdow>水曜日4:00</utcdow>"""
MissionBoardCampaign#0,"""キャンペーン"""
MissionBoardEvent#0,"""イベント"""
MissionBoardDailyWeekly#0,"""デイリー/ウィークリー"""
MissionBoardTutorial#0,"""チュートリアル"""
MissionBoardNumber#0,"""($(0))"""
MissionProgressNumber#0,"""$(0)/$(1)"""
MissionProgressComplete#0,"""<%Decide>報酬受取"""
CategoryMenu_GetAll#0,"""報酬をすべて受け取る\u3000($(0))"""
MissionRewardConfirmTitle#0,"""報酬受取"""
MissionRewardConfirmMsg#0,"""タスクの報酬アイテムを受け取ります。<br>よろしいですか？（仮）"""
MissionRewardConfirmMsgAll#0,"""報酬をすべて受け取ります。<br>よろしいですか？"""
MissionRewardConfirmYes#0,"""はい"""
MissionRewardConfirmNo#0,"""いいえ"""
MissionRewardConfirm_limited_Title#0,"""報酬受取"""
MissionRewardConfirm_limited_Msg#0,"""ミッションの報酬を受け取ります。<br>よろしいですか？<br><br><yellow>※この報酬を受け取れるのは<br>\u3000アカウントにつき1回のみです。<br>\u3000受け取るシップに間違いないかをご確認ください。<c>"""
MissionRewardConfirm_limited_Yes#0,"""はい"""
MissionRewardConfirm_limited_No#0,"""いいえ"""
MissionRewardConfirm_All_limited_Title#0,"""報酬受取"""
MissionRewardConfirm_All_limited_Msg#0,"""ミッションの報酬を受け取ります。<br>よろしいですか？<br><yellow>※アカウントにつき1回のみ受け取ることができる<br>\u3000アイテムが含まれています。<br>\u3000受け取るシップに間違いないかをご確認ください。<c><br>※いいえを選ぶと、<br>\u3000アカウント制限のない報酬のみを受け取ります。"""
MissionRewardConfirm_All_limited_Msg_Only#0,"""ミッションの報酬を受け取ります。<br>よろしいですか？<br><br><yellow>※この報酬を受け取れるのは<br>\u3000アカウントにつき1回のみです。<br>\u3000受け取るシップに間違いないかをご確認ください。<c>"""
MissionRewardConfirm_All_limited_Yes#0,"""はい"""
MissionRewardConfirm_All_limited_No#0,"""いいえ"""
MissionReward_Error_Close#0,"""閉じる"""
MissionReward_Error_Inventorylimit#0,"""アイテムパックの空き容量不足<br>または所持数の限界を超えているため<br>受け取れませんでした。"""
MissionReward_Error_limitTime#0,"""有効期限を過ぎているため<br>受け取れませんでした。"""
MissionNoItem#0,"""選択できるミッションがありません。"""
MissionGetReward_Header#0,"""ミッション報酬を受け取りました"""
MissionReward_RewardList_Header#0,"""報酬一覧"""
MissionReward_RewardList_Issue#0,"""以下の報酬を受け取りました。"""
MissionReward_RewardList_Next#0,"""次を受け取る"""
MissionReward_RewardList_Interrupt#0,"""中断する"""
MissionReward_RewardList_Close#0,"""閉じる"""
MissionNotice_Issue_Header#0,"""<c f0df60>を受注しました<c>"""
MissionNotice_Issue_Description#0,"""目標を達成して報酬を手に入れよう。"""
MissionNotice_Issue_Number#0,"""…他$(0)件"""
MissionNotice_Achieve_Header#0,"""を達成しました"""
MissionNotice_Achieve_Description#0,"""アークスミッションで報酬を受け取ろう。"""
MissionNotice_Achieve_Number#0,"""…他$(0)件"""
SimpleStatus_NotOpen#0,"""受注しているミッションがありません"""
SimpleStatus_SharedShip#0,"""共通シップではミッションを確認できません"""
MissionBoardCategoryMenuDaily#0,"""デイリーミッション"""
MissionBoardCategoryMenuWeekly#0,"""ウィークリーミッション"""
MissionBoardCategoryMenuLimited#0,"""期間限定ミッション"""
MissionBoardCategoryMenuGuidance#0,"""メインミッション"""
MissionReward_Error_General_Header#0,"""報酬受取"""
MissionReward_Error_General_Msg#0,"""報酬を受け取ることができませんでした。<br><br>時間をおいて再度お試しください。"""
MissionReward_Error_Inventorylimit_Header#0,"""報酬受取"""
MissionReward_Error_Inventorylimit_Msg#0,"""アイテムパックの空き容量不足<br>または所持数の限界を超えているため<br>受け取れませんでした。"""
MissionReward_Error_limitTime_Header#0,"""報酬受取"""
MissionReward_Error_limitTime_Msg#0,"""有効期限を過ぎているため<br>受け取れませんでした。"""
MissionTracking_Change_toast#0,"""追跡するミッションを変更しました。"""
MissionTracking_Change_error#0,"""追跡できないミッションです。"""
MissionMenu_ItemDetail_NoItem#0,"""報酬アイテムはありません。"""
