Title#0,"""Trick or Treat!"""
Explanation#0,"""This is a personal request from me, and not<br>ARKS headquarters.<br>Have you heard that Naura's Confectionary<br>is open in the Lost Sea on Lilipur for a limited time?<br>I think you should go and check it out!<br>There's plenty of dangerous things out<br>there to take care of, so think of it as patrol duty!<br>----------------------------------------<br>You will fail if you lose the final battle,<br>or run out of time."""
Title#1,"""トリックオアトリート！"""
Explanation#1,"""はーい、この依頼はアークス本部ではなく<br>わたしことシーからお伝えしまっす！<br>ナウラのケーキ屋が期間限定で<br>惑星リリーパの砂漠で<br>お店を開いているらしいよ？<br>折角だし、見に行ってきたらどうかなっ！<br>危険がたくさんいっぱいだし、警らの<br>意味も込めて、どうかなっ！<br>――――――――――――――――――――<br>失敗条件/防衛の失敗、制限時間の経過"""
SimpleExplanation#0,"""Find Naura's Confectionary!"""
SimpleExplanation#1,"""ナウラのケーキ屋を探し出せ！"""
a1#0,"""Completion of certain client requests"""
a2#0,"""Completion of certain client requests"""
a3#0,"""Must have a license to accept Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
