Title#0,"""Wild Easter"""
Explanation#0,"""ว่างาย ! ชั้นเอง Huey ไง ! อีกไม่กี่วันก็จะ<br>เทศกาล Easter ของหมู่ ARKS เราแล้วแต่คิดว่า<br>คงรู้กันอยู่แล้วสินะ คือวันนี้มีเรื่องอยากขอให้ช่วยหน่อย<br>ตรงบริเวณที่จัดงานบนดาว Lilipa น่ะ<br>อยู่ๆก็มีศัตรูโผล่ขึ้นมาเต็มไปหมดโดยไม่รู้สาเหตุซะงั้น !<br>มันเยอะมากจริงๆ จนชั้นคนเดียวจัดการไม่ไหว !<br>มาช่วยกันเยอะๆหน่อยแล้วกันนะ !<br>-------------------------<br>เงื่อนไขที่ทำให้ภารกิจล้มเหลว / <br>ทำภารกิจไม่สำเร็จ, ใช้เวลาเกินกว่าที่กำหนด"""
Title#1,"""ワイルドイースター"""
Explanation#1,"""やあやあやあ！\u3000オレだ！\u3000ヒューイだ！<br>既に知っていると思うが、近々アークスで<br>イースターという催しを行う予定なのだ！<br>その手伝いをオレもしているのだが<br>会場の惑星リリーパで、原因は不明だが<br>エネミーが大量発生しているようだ！<br>とてもとてもオレ一人では手が足りない！<br>みんなの協力、待ってるぞ！<br>――――――――――――――――――――<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""เปิดสวิตช์และกำจัดศัตรู !"""
SimpleExplanation#1,"""スイッチを起動しエネミーを殲滅せよ！"""
a1#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a2#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
