msc_041190_0010#0,"""みんな、来てくれたか。"""
msc_041190_0020#0,"""ちょうど、イルマと通信が繋がっています。<br>こちらへどうぞ。"""
msc_041190_0030#0,"""やあ、みんな。久しぶり。<br>急な連絡でごめん。でも、どうしても、みんなに話しておきたくてさ。"""
msc_041190_0040#0,"""まずは、これを見てほしい。<br>先日、エアリオとクヴァリスの間にある海域で撮った映像だよ。"""
msc_041190_0050#0,"""何、これ……？\u3000まるで、海が抜け落ちたみたい。"""
msc_041190_0060#0,"""ただの海底の陥没ではなさそうね。<br>周囲のものを、取り込んでいる……？"""
msc_041190_0070#0,"""その通りだよ。<br>この穴は、周囲の物質を分解して、取り込んでる。"""
msc_041190_0080#0,"""最初は、地殻変動の一種かと思ったんだ。<br>でも、現地で調べたところ、異常なエネルギー反応が検出された。"""
msc_041190_0090#0,"""しかも……以前に、オルタレルムで観測されたのと<br>同種のエネルギーがね。"""
msc_041190_0100#0,"""ルーシア？\u3000どうかしたの？"""
msc_041190_0110#0,"""……わからない。<br>けど、これを見てると……胸がざわつく。"""
msc_041190_0120#0,"""これを知ってるような……<br>でも、思い出したくないような……そんな感覚。"""
msc_041190_0130#0,"""知ってるって……ルーシアが？"""
msc_041190_0140#0,"""ごめん……はっきり思い出せるわけじゃないの。<br>ただ、すごく嫌な感じがする。"""
msc_041190_0150#0,"""とにかく、この穴……“アブダクションホール”としようか。<br>これは今も、周辺の海水や大気を吸い込み続けてる。"""
msc_041190_0160#0,"""放置すれば、ハルファ全体に影響を及ぼす可能性もある。<br>急いで、対策を立てなきゃ。"""
msc_041190_0170#0,"""でも、あんなもの、どうやって止めればいいの？"""
msc_041190_0180#0,"""オルタレルムで観測されたエネルギーとほぼ同種ということは、<br>アブダクションホールには、スターレスが関わっている可能性が高い。"""
msc_041190_0190#0,"""出現時期も、オルタレルムが現れた頃と一致する。だとすれば、<br>対処する手がかりは、あの領域にあると考えていいだろう。"""
msc_041190_0200#0,"""半分、正解だ。<br>さすがは、僕の“オリジナル”。"""
msc_041190_0210#0,"""あの時の偽者……！"""
msc_041190_0220#0,"""どうやってここに入った？"""
msc_041190_0230#0,"""やれやれ、ずいぶんな歓迎だな。"""
msc_041190_0240#0,"""知らないのかい？<br>僕たちには、空間の隔たりなど関係ないんだよ。"""
msc_041190_0250#0,"""また会ったね、ガーディアン。<br>そう警戒するなよ、今日はただの見物さ。"""
msc_041190_0260#0,"""……お前が、<%me>たちが<br>オルタレルムで遭遇したというスターレスだな。"""
msc_041190_0270#0,"""スターレス、か。キミたちは、そう呼ぶんだったね。<br>……まあ、キミたちに合わせて、そう名乗ってあげるとするか。"""
msc_041190_0280#0,"""さて、キミたち、興味はないか？\u3000あの穴の正体。<br>このハルファに、何が起ころうとしているのかということに。"""
msc_041190_0290#0,"""っ……何を、知っているというの？"""
msc_041190_0300#0,"""哀れなキミたちに、ヒントをあげよう。<br>そこの“僕”の見立て通り、答えはあの領域、オルタレルムにある。"""
msc_041190_0310#0,"""僕たち“三影傑”が守りし、３つの塔にね。"""
msc_041190_0320#0,"""三影傑……。"""
msc_041190_0330#0,"""３つの、塔……？"""
msc_041190_0340#0,"""そこに来れば教えてあげよう。<br>あの穴の秘密をね。"""
msc_041190_0350#0,"""……なぜ、それをわざわざ僕たちに伝える？"""
msc_041190_0360#0,"""勝敗の見えた遊びほど、面白くないものはないだろ？<br>ちょっとしたハンデってやつさ。"""
msc_041190_0370#0,"""随分と饒舌だな。<br>三影傑という名を持つ者の余裕というわけか？"""
msc_041190_0380#0,"""……ああ、そう来るか。いい作戦だ、オリジナル。"""
msc_041190_0390#0,"""でも残念。そこまでは教えない。<br>だってキミは、こう考えているだろう？"""
msc_041190_0400#0,"""僕から少しでも多くの情報を引き出したうえで、<br>この場の総力をぶつけ、僕を仕留めたい……とね。"""
msc_041190_0410#0,"""でも、それは危うい賭けだ。もしここで戦えば、この街や、<br>そこで眠ってもらっている彼女たちがどうなるか……キミならわかるだろ？"""
msc_041190_0420#0,"""卑怯だ。"""
msc_041190_0430#0,"""何をしたんだ。"""
msc_041190_0440#0,"""何が悪いんだい？<br>そんなつまらないものに縛られているから、キミたちは弱いんだよ。"""
msc_041190_0450#0,"""ちょっと眠ってもらったのさ。<br>心配ない、じきに目を覚ますよ。"""
msc_041190_0460#0,"""くっ……。"""
msc_041190_0470#0,"""ふふ……ははは、そう睨むなよ、司令官殿。<br>守るものが多いってのは、大変だよね？"""
msc_041190_0480#0,"""では、今回はこのあたりで失礼しよう。<br>キミたちが来る時を、楽しみにしているよ。"""
msc_041190_0490#0,"""……ああ、そうだ。そこに場違いな“迷子”がいるだろう？<br>彼女も、忘れずに連れてきてくれよ。"""
msc_041190_0500#0,"""この遊びには、彼女も必要だからね。<br>それじゃ、また。"""
msc_041190_0510#0,"""空間を、超えた……。"""
msc_041190_0520#0,"""……勝負は、まだついていない。<br>手がかりなら、十分に手に入れたさ。"""
name01#0,"""？？？"""
