un_020590_0010#0,"""嗯，前輩，怎麼了嗎？<br>俺的臉上有東西嗎？"""
un_020590_0020#0,"""呃，是因為你看著俺<br>臉上卻一副驚訝才會讓人在意啦。"""
un_020590_0030#0,"""也沒什麼不能對人說的事，<br>想問就問吧。"""
un_020590_0040#0,"""1.為什麼用「俺」自稱"""
un_020590_0050#0,"""嗯？\u3000你問我為什麼，<br>俺不就是俺嗎？"""
un_020590_0060#0,"""你說這樣不像女生？<br>前輩，你還真是<br>管得很細耶。"""
un_020590_0070#0,"""又沒什麼關係。<br>俺對於自己<br>要怎麼稱呼都好啊。"""
un_020590_0080#0,"""現在才回頭要求俺改用「我」來自稱，<br>那根本羞死人了。"""
un_020590_0090#0,"""......前輩你聽好了，<br>這種事情啊，去和那些<br>具有可愛素質的人說啦。"""
un_020590_0100#0,"""這話跟俺講<br>也是沒用，對吧？"""
un_020590_0110#0,"""......你怎麼不講話了啦。"""
un_020590_0120#0,"""2.覺得可愛才會看著你"""
un_020590_0130#0,"""啊？<br>可愛？你說誰啊？<br>俺嗎？"""
un_020590_0140#0,"""前輩......要不要幫你掛眼科？<br>你還是去休息一下<br>比較好吧？"""
un_020590_0150#0,"""如果說俺很可愛，<br>那麼那邊的達卡<br>不就都是大美女了。"""
un_020590_0160#0,"""啊，原來啊。<br>我明白你是想<br>說些話逗我啦，前輩。"""
un_020590_0170#0,"""......真是的。<br>突然說這些有的沒的，<br>很嚇人的耶。笨蛋。"""
un_020590_0010#1,"""ん、センパイ、どうした？<br>おれの顔になにかついてる？"""
un_020590_0020#1,"""いや、怪訝そうな顔して<br>こっち見てるから気になってさ。"""
un_020590_0030#1,"""別におれには隠すようなことも<br>ないから、何でも聞いてくれ。"""
un_020590_0040#1,"""１．どうして「おれ」なのか"""
un_020590_0050#1,"""ん？\u3000どうして、と言われても<br>おれはおれじゃないか？"""
un_020590_0060#1,"""女っぽくない、って？<br>なんだセンパイ、ずいぶんと<br>些細なことにこだわるんだな。"""
un_020590_0070#1,"""いいじゃんか。<br>おれがおれのことを<br>どう呼ぼうが、さ。"""
un_020590_0080#1,"""いまさら私とか言おうにも<br>照れくさくてかなわない。"""
un_020590_0090#1,"""……いいかセンパイ。<br>そういうのはもっとかわいさの<br>素養があるやつにいってやれ。"""
un_020590_0100#1,"""おれに言っても<br>仕方がない、だろ？"""
un_020590_0110#1,"""……なんで黙るんだよ。"""
un_020590_0120#1,"""２．かわいいから見ていただけ"""
un_020590_0130#1,"""は？<br>かわいいって、誰が？<br>おれが？"""
un_020590_0140#1,"""センパイ……目、大丈夫か？<br>ちょっと休んだ方が<br>いいんじゃないか？"""
un_020590_0150#1,"""おれがかわいいのなら<br>そこらのダーカーだって全部<br>別嬪さんになっちまう。"""
un_020590_0160#1,"""ああ、ああ。<br>お世辞で言ってくれてるのは<br>わかってるよセンパイ。"""
un_020590_0170#1,"""……ったく。<br>急にそんなこと言われたら<br>びっくりするだろ。ばか。"""
