FullTitle#0,"""コレクトファイル"""
FullInfo#0,"""<c f0df60>「コレクトファイル」では、必要アイテムを集めると「報酬アイテム」がもらえます。<c>"""
Title#0,"""配信中のコレクトファイル"""
CaptionL#0,"""コレクトファイル名"""
CaptionR#0,"""配信終了日"""
FullTitle#1,"""コレクトシート選択"""
FullTitle_v#0,"""シート選択"""
FullInfo#1,"""<c f0df60>欲しい報酬アイテムのシートを選択してください。<c>"""
Title#1,"""報酬アイテム選択"""
EquipableCheck#0,"""装備可のみ"""
Button#0,"""戻る"""
TitleSheetInfo#0,"""シート情報"""
SheetNum#0,"""シート所持数"""
SheetNum_CurrentNum#0,"""$(0) / $(1) 枚"""
SheetNum_CurrentNum_Equal#0,"""<c ff9c70>$(0) / $(1) 枚<c>"""
SheetNum_CurrentNum_Over#0,"""<c ff0000>$(0) / $(1) 枚<c>"""
CoolTime#0,"""クールタイム"""
CoolTime_Free#0,"""このシートは、すぐに入手可能です。"""
CoolTime_Wait#0,"""このシートは<br><red>$(0)<c><br>まで入手できません。<br>（スタージェムでリセット可能）"""
CoolTime_SheetExpired#0,"""このシートは配信期間が終了しているため<br>シートの入手、再入手を行うことができません。"""
FullTitle#2,"""シート詳細"""
FullInfo#2,"""<c f0df60>それぞれの「対象エネミー」を撃破して「必要アイテム」をすべて拾うと、「報酬アイテム」がもらえます。<c>"""
