11_voice_NPC_5599_100#0,"""お、見かけない顔だな。<br>俺は、§イチカ§だ！<br>よろしく頼むぜ。"""
text01002a#0,"""お前を巻き込むかも知れないが<br>……隣にいる、みたらしに<br>話しかけてもらえるか？"""
text02001#0,"""……"""
text02002#0,"""あ、チカちゃんの中の人なら<br>呼ばれたとかでいま離席中だよー。<br>おつかいでも頼まれたんかな？"""
11_voice_NPC_5599_100#1,"""オーダーを出す側ってのも<br>なかなか面白いもんだな。"""
text03002#0,"""よろしく頼んだぞ！"""
11_voice_NPC_5599_104#0,"""そう言えば最近<br>微妙に集まりが悪いんだよ……"""
text04002#0,"""まあ、俺もそうだし<br>テトラも色々あるみたいだし<br>仕方ないっちゃ仕方ないよな。"""
text04003#0,"""みたらしはいっつも暇そうで<br>ずっとログインしてるみたいだけどな！"""
11_voice_NPC_5599_100#2,"""よーし、お前らいくぞー！<br>俺の新たな真の力……<br>《亡霊》の能力を、見せてやるぜ！"""
text06001#0,"""おつかれー。<br>色々振り回しちゃって<br>ごめんなー。"""
11_voice_NPC_5599_101#0,"""でも、楽しかったよな？<br>俺も楽しかったぞ！"""
text06003#0,"""また誘ってくれよな！<br>一緒にクエスト行こうぜ！"""
