un_013080_0010#0,"""โย่ สบายดีรึเปล่า?"""
un_013080_0020#0,"""ข้าคิดว่าเจ้าเองก็น่าจะเห็นแล้ว<br>ที่เร็วๆ นี้จะมีการเปิดงานชุมนุม<br>สังสรรค์ประลองฝีมือขึ้น"""
un_013080_0030#0,"""ถึงจะบอกว่าเป้าหมายคือเพื่อขอบคุณกับพักผ่อน<br>ก็ตาม แต่ข้าเกรงว่ามันจะต้องไม่ใช่แค่นั้นแน่"""
un_013080_0040#0,"""Dark Falz ได้ฟื้นคืนชีพขึ้นมาแล้ว<br>การต่อสู้หลังจากนี้จะต้องยิ่งทวี<br>ความรุนแรงขึ้นไปอีกเป็นแน่"""
un_013080_0050#0,"""เพราะฉะนั้น ข้าคิดว่ามันน่าจะเป็น<br>การคัดเลือกเพื่อการต่อสู้ที่จะมา<br>ถึงในเวลาอันใกล้นี้หรือเปล่า"""
un_013080_0060#0,"""...แต่เอาเถอะ ก็แค่การคาดการณ์ส่วนตัวน่ะนะ<br>ยังไงซะมันก็เป็นงานของ Huey นั่น <br>คงไม่มีความหมายอะไรลึกซึ้งขนาดนั้นหรอกมั้ง"""
un_013080_0070#0,"""ไม่ว่าเป้าหมายจะเป็นอะไร แต่การประลอง<br>ฝีมือก็จะเป็นการกระตุ้นให้ทั้งคู่เติบโตขึ้น<br>เพราะงั้นข้าถึงได้อยากเข้าร่วมดู"""
un_013080_0080#0,"""แล้วไว้เจอกัน"""
un_013080_0010#1,"""よう、元気か？"""
un_013080_0020#1,"""お前も見たと思うが<br>近々、能力を競うための催しが<br>開かれるそうだな。"""
un_013080_0030#1,"""息抜きや、慰労が目的と言われているが<br>おそらくそれだけじゃないな。"""
un_013080_0040#1,"""ダークファルスの復活を受け<br>今後の戦いはより一層<br>苛烈になっていくだろう。"""
un_013080_0050#1,"""だから、来たるべき戦いに向けての<br>選別も兼ねているのではないかと<br>俺は考えている。"""
un_013080_0060#1,"""……まあ、あくまで個人的な予想だ。<br>あのヒューイが主催だし、そこまで<br>深い意味はないかもしれない。"""
un_013080_0070#1,"""目的は何にせよ、能力を競うというのは<br>互いの成長を促すからな。<br>是非参加したいところだ。"""
un_013080_0080#1,"""それじゃあな。"""
