IncidentName#0,"""Destroy the D-arkeim!"""
TrialBeginMsg#0,"""ทำลาย D-arkeim!"""
TrialAbstract#0,"""ทำลาย D-arkeim ทั้งหมด!"""
IncidentName#1,"""ダーカイムを破壊せよ！"""
TrialBeginMsg#1,"""ダーカイムを破壊せよ！"""
TrialAbstract#1,"""ダーカイムをすべて破壊せよ！"""
NpcComOnBegin#0,"""เรียกหน่วยปฏิบัติการทุกคน<br>กลไลปนเปือนของ D-arkers ที่เรียกว่า D-arkeim ได้ปรากฏขึ้น<br>พวกมันจะเริ่มทำงานแล้ว จงไปทำลายให้หมดโดยเร็ว!"""
NpcComOnSuccess#0,"""ดีล่ะ ไม่พบปฏิกริยา D-arkeim เหลือแล้ว<br>สภาพแวดล้อมรอบๆคงปลอดภัยจากการปนเปื้อนไปได้<br>ขอบคุณมากที่ปฏิบัติหน้าที่อย่างดีเยี่ยม"""
NpcComOnFailure#0,"""/face6 D-arkeim ทำงานแล้ว<br>มันจะทำให้สภาพแวดล้อมเสียหายอย่างหนักแน่<br>น่าเสียดายที่เราหยุดมันไว้ทั้งหมดไม่ได้"""
GeneratorLastOne#0,"""ยังเหลือปฏิกริยา D-arkeim อีกหนึ่งจุด"""
GeneratorAdd#0,"""D-arkeim ปรากฏออกมามากขึ้น<br>พวกมันกำลังกระจายออกไป รีบจัดการพวกมันให้หมดโดยเร็ว"""
TimeLimitNear#0,"""D-arkeim พร้อมที่จะทำงานแล้ว<br>เวลาเหลืออีกไม่มาก เร่งมือเข้า!"""
DestroyGenerator#0,"""ยืนยันการทำลาย D-arkeim<br>อย่าประมาทจะกว่าเราจะทำลายพวกมันได้ทั้งหมด!"""
DestroyIndicated#0,"""เซนเซอร์ตรวจพบปฏิกริยาที่จุด $(0)<br>รีบรุดหน้าไปและทำลาย D-arkeim ให้เร็วที่สุด!"""
NpcComOnBegin#1,"""各員へ告ぐ。ダーカイムと呼称される<br>ダーカーの環境汚染機構が出現した。<br>起動まで時間がない、すべて破壊しろ。"""
NpcComOnSuccess#1,"""よし、すべてのダーカイムの反応消失。<br>周囲環境への汚染も防げたようだな。<br>各員の奮闘に感謝する。"""
NpcComOnFailure#1,"""/face6 ダーカイムが起動したか……<br>周囲環境に深刻な影響が出るが<br>止められなかったものは仕方がない。"""
GeneratorLastOne#1,"""よし、ダーカイムの反応はあと１つだ。"""
GeneratorAdd#1,"""新たなダーカイムの出現を確認。<br>範囲が広い、迅速に処理しろ。"""
TimeLimitNear#1,"""ダーカイムの起動まで<br>もう時間がないぞ。急げ。"""
DestroyGenerator#1,"""ダーカイムの破壊を確認。<br>最後まで気を抜くな！"""
DestroyIndicated#1,"""ポイント$(0)に反応。<br>急行し、ダーカイムを破壊せよ。"""
