st_062040_0180#0,"""〔很久不見〕〔<%me>〕"""
st_062040_0185#0,"""〔ARKS的危機我知道〕<br>〔您的安全、比什么都好〕"""
st_062040_0190#0,"""安杜斯奇亞的老龍族。<br>洛・卡密茲……夏歐的、知己。"""
st_062040_0200#0,"""〔的確〕"""
st_062040_0210#0,"""〔從你的內心裏、感覺到那個孩子。<br>雖然聽說過、但像這樣對話<br>還是第一次、夏歐的巫女〕"""
st_062040_0220#0,"""巫女？"""
st_062040_0230#0,"""不是縁者？"""
st_062040_0240#0,"""〔按照你們的說法<br>夏歐的縁者、是正確的〕"""
st_062040_0250#0,"""〔但是、根據這個說法換言之<br>我想說的話<br>已經傳達給你們了〕"""
st_062040_0260#0,"""我和雷拉、是同樣的存在……<br>那麼、洛・卡密茲……您是……"""
st_062040_0270#0,"""和夏歐一樣……"""
st_062040_0280#0,"""錫安的模倣体……"""
st_062040_0290#0,"""〔……沒錯。<br>我是、全知存在・惑星錫安的模倣体。<br>是其遺棄作品之一〕"""
st_062040_0300#0,"""〔我是中期模倣体。<br>同時誕生的還有<br>可以稱爲兄弟的模倣体〕"""
st_062040_0310#0,"""〔但是我和另一個的錫安模倣体<br>有從原創開始<br>就不足的東西〕"""
st_062040_0320#0,"""〔我的演算能力不足<br>另一個処理能力不足〕"""
st_062040_0330#0,"""〔如果二者合爲一體的話<br>不難想象會有多少人嘆息吧？〕"""
st_062040_0340#0,"""〔當時的光子族的厲害之處在於<br>他想把這種哀嘆變成現實〕"""
st_062040_0350#0,"""〔將我和另一個融合、策劃成爲<br>完全的錫安模倣体……<br>那個想法、当然失敗了〕"""
st_062040_0360#0,"""〔結果、出生的就是這顆星球。<br>惑星安杜斯奇亞的起源、就在那裏〕"""
st_062040_0370#0,"""〔作爲傳承留下的、天国龍特里奧托与<br>磁獄龍卡西納的鬥爭。<br>那是成對的模倣体的激烈衝突的表現〕"""
st_062040_0380#0,"""〔但是、我不認爲那是可憎的。<br>也不怨恨光子族。<br>這種感情、我不存在〕"""
st_062040_0390#0,"""〔我在這裏得到了、只有在這裏<br>才能得到的東西。這樣就足夠了〕"""
st_062040_0400#0,"""〔不過、卡西納<br>是怎麼想的、我不知道〕"""
st_062040_0410#0,"""……夏歐即將消失的時候<br>去安杜斯奇亞、說的是<br>爲了迎接你作爲新的管理者……？"""
st_062040_0420#0,"""〔不、那樣的話情況不會改變。<br>我不如夏歐的運算能力。<br>那樣的話就只是將就了〕"""
st_062040_0430#0,"""那麼、該怎麼辦……"""
st_062040_0440#0,"""另一個模倣体在哪裏？"""
st_062040_0450#0,"""一個不行、兩個的話……"""
st_062040_0460#0,"""〔……卡西納在休眠。<br>和我發生了衝突、因爲那個衝擊<br>進入了未醒的夢鄉〕"""
st_062040_0470#0,"""〔現在在安杜斯奇亞的地下深處。<br>作爲磁獄的支撐<br>只有容器在那裏〕"""
st_062040_0480#0,"""告訴我。<br>卡西納的休眠處<br>怎麼才能到那裡？"""
st_062040_0490#0,"""〔……卡西納那裡<br>你打算把你內的夏歐轉移到那裏嗎？〕"""
st_062040_0500#0,"""〔如果移動失敗、不僅是夏歐<br>就連現在的容器、你也會陷入危險之中。<br>估計夏歐他不希望這樣做〕"""
st_062040_0510#0,"""那傢伙要想回來只能這樣了。<br>所以那傢伙叫我<br>往這兒走。"""
st_062040_0520#0,"""而且……我也覺得<br>一直被這樣做<br>是不合我的性格的。"""
st_062040_0530#0,"""夏歐救了我的命<br>兩次。<br>這個恩情、我想報答。"""
st_062040_0540#0,"""……爲了保護大家、是必要的。"""
st_062040_0550#0,"""……拜託了。"""
st_062040_0560#0,"""希望借助你的力量"""
st_062040_0570#0,"""……拜託了"""
st_062040_0580#0,"""〔……人的意志、應該是如此美麗的〕"""
st_062040_0590#0,"""〔……她的想法、我同意了。<br>去卡西納那裡吧。<br>克・雷拉、給他們嚮導〕"""
st_062040_0600#0,"""〔是〕〔卡密茲大人！〕"""
st_062040_0610#0,"""克・雷拉當嚮導？<br>那麼大、能進入火山洞穴<br>的深處嗎？"""
st_062040_0620#0,"""〔呵呵呵〕〔別擔心庫娜〕<br>〔竟然還有這種事！〕"""
st_062040_0630#0,"""縮小了……！？"""
st_062040_0640#0,"""〔身体的構成〕〔龍晶的大小〕<br>〔自由調整〕<br>〔巫很容易！〕"""
st_062040_0650#0,"""〔如果克・雷拉陪同的話、也可以和我聯繫。<br>去吧、向著卡西納的源頭〕"""
st_062040_0660#0,"""〔……我有不明白的事情。<br>爲什麼要借給光子族的後裔力量？<br>是因爲原創者想要嗎？〕"""
st_062040_0670#0,"""不、錫安的願望不是這樣的。<br>錫安的願望是、拯救唯一的那一個人。"""
st_062040_0680#0,"""無論是幫助莎拉、還是在這裏提出建議<br>那都是我的自由意志。"""
st_062040_0690#0,"""不過、這也可能是<br>掌握在錫安的手掌上。"""
st_062040_0700#0,"""〔更加、不能理解。<br>夏歐、你在那之後還想要什麼？〕"""
st_062040_0710#0,"""很難啊、卡密茲。<br>我可不想要<br>那麼偉大的東西。"""
st_062040_0720#0,"""只是、硬要說的話……"""
st_062040_0730#0,"""〔人的意志、超越了我們。<br>……我也想見證這一切〕"""
