Title#0,"""特別突破訓練：Episode4"""
Explanation#0,"""本任務は、VR空間にて行う<br>制限時間内にエリアの最奥を目指す<br>走破型の訓練である。<br>アークスが経験した様々な事象から<br>惑星・地球での一連の事象時軸を中心に<br>象徴的な障害を選んで再構築した。<br>各員の能力を最大限引き出し、突破せよ。<br>――――――――――――――――――――<br>制限時間/１５分<br>最大与ダメージ制限/９９９９９９"""
SimpleExplanation#0,"""各惑星に現れた敵を撃退せよ！"""
NpcComMsg1#0,"""これより特別訓練を始めます！<br>この訓練の目標は、制限時間内での<br>完全踏破になります！"""
NpcComMsg2#0,"""私お手製のＶＲ訓練！<br>難易度も相当高くなってますから<br>心して取り組んでくださいね！"""
NpcComMsg3#0,"""それでは、完全踏破目指して<br>頑張っていきましょう！"""
Area0S#0,"""東京エリア1"""
Area0L#0,"""惑星・地球 東京エリア1"""
Area1S#0,"""ラスベガスエリア2"""
Area1L#0,"""惑星・地球 ラスベガスエリア2"""
Area2S#0,"""壊世区域 火山洞窟エリア3"""
Area2L#0,"""惑星アムドゥスキア 壊世区域 火山洞窟エリア3"""
Area3S#0,"""アースガイド本部地下エリア4"""
Area3L#0,"""惑星・地球 アースガイド本部地下エリア4"""
Area4S#0,"""エスカタワー上層"""
Area4L#0,"""ロンドン エスカタワー上層"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
