name01#0,"""Support Partner"""
name02#0,"""Uruk"""
name01#1,"""サポートパートナー"""
name02#1,"""ウルク"""
skit01#0,"""/ci5 2 เป้าหมายอยู่ด้านในสุดนั่น...<br>แต่มีพวก Darker มันเอากำแพงมาปิดทางเอาไว้<br>"""
skit02#0,"""/ci1 1 ต่อให้แฮคกิ้งก็คงเปิดไม่ได้สินะ...<br>งั้นไปหาสวิทช์กันเถอะ"""
skit01#1,"""/ci5 2 この奥が目的地なんだけど……<br>ダーカーを閉じ込めるためか<br>防壁が道をふさいじゃってるね。"""
skit02#1,"""/ci1 1 ハッキングして開けるわけにも<br>いかないか……<br>解除スイッチを探そう。"""
skit01#2,"""เป้าหมายอยู่ด้านในสุดนั่น...<br>แต่มีพวก Darker มันเอากำแพงมาปิดทางเอาไว้<br>"""
skit02#2,"""ต่อให้แฮคกิ้งก็คงเปิดไม่ได้สินะ...<br>งั้นไปหาสวิทช์กันเถอะ"""
skit01#3,"""この奥が目的地なんだけど……<br>ダーカーを閉じ込めるためか<br>防壁が道をふさいじゃってるね。"""
skit02#3,"""ハッキングして開けるわけにも<br>いかないか……<br>解除スイッチを探そう。"""
