Title#0,"""Greenscape Dagan Hunt"""
Explanation#0,"""จากความยิ่งใหญ่ที่เห็นและความฉลาดของหน่วย Recon<br>บ่งชี้ว่า D-arkers กำลังรวมตัวกันที่ Greenscape<br>บน Naberius<br>เหล่า ARKS จงรีบมุ่งหน้าไปยัง Greenscape โดยทันที<br>แล้วกำจัดพวก Dagans ที่นั่นให้หมด<br>----------------------------------------<br>ผ่านโดยการได้รับ 100 Point<br>โดย Point จะได้รับจากการกำจัด Dagan"""
Title#1,"""ダガン殲滅任務：森林"""
Explanation#1,"""惑星ナベリウス内における存在視認<br>および、先行隊のデータによる裏付けから<br>惑星ナベリウス内の森林にて<br>ダーカー発生が認められた。<br>アークス各員は早急に森林へと向かい<br>ダガンを殲滅せよ。<br><br>――――――――――――――――――――<br>クエストポイント【100】達成でクリア<br>ダガンの撃破でポイント獲得"""
SimpleExplanation#0,"""กำจัด Dagan เพื่อรับคะแนน!"""
SimpleExplanation#1,"""ダガンを撃退し<br>クエストポイントをためろ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
