un_020670_0010#0,"""嗯，哦，搭檔啊。<br>你到這裡來有什麼事啊。"""
un_020670_0020#0,"""啊，問得好。<br>我還是一樣......在找人。"""
un_020670_0030#0,"""話雖如此，卻跑來這個<br>人煙罕至的莉莉芭，<br>好像有點矛盾耶，哈哈。"""
un_020670_0040#0,"""我是順從我的直覺行動。<br>結果會來到這裡，<br>表示應該會有些什麼。"""
un_020670_0050#0,"""......不過，直覺不過是直覺，<br>搞不好什麼都沒有呢。"""
un_020670_0060#0,"""話說回來，至少也反映在<br>多一點人煙的地方吧。"""
un_020670_0070#0,"""......還是說，他會在的地方<br>就是沒有人煙的地點嗎。"""
un_020670_0080#0,"""啊，不，沒事。<br>那，再見啦，搭檔。"""
un_020670_0010#1,"""ん、ああ、相棒じゃんか。<br>どうしたよ、こんな場所で。"""
un_020670_0020#1,"""って、それはおれが言われる台詞か。<br>おれは変わらず……人探しだよ。"""
un_020670_0030#1,"""それなのに、人がいないはずの<br>リリーパに来てしまうって<br>なんだか矛盾してるよな、ははっ。"""
un_020670_0040#1,"""おれはおれの直感に従って動いてる。<br>結果、ここに来てるってことは<br>何か、あるのかもしれない。"""
un_020670_0050#1,"""……ま、所詮は直感だから<br>何もないのかもしれないけど。"""
un_020670_0060#1,"""にしたってなあ、もうちょっと<br>人気のある場所に反応してくれよ。"""
un_020670_0070#1,"""……それとも、あいつがいるとしたら<br>人気のない場所だ、ってことなのか。"""
un_020670_0080#1,"""ああいや、何でもない。<br>それじゃあな、相棒。"""
