un_065160_0010#0,"""スクナヒメ！<br>コトシロさん！"""
un_065160_0020#0,"""ん？\u3000おお、そなたらか。<br>ハルコタンにおった敵の連中は<br>いなくなったぞ。"""
un_065160_0030#0,"""白の民たちも幽世から戻り<br>復興を行っている。"""
un_065160_0040#0,"""よかった！<br>わたしたちも、終わったよ。"""
un_065160_0050#0,"""そうか、そうか。<br>これでまた、のんびり過ごせるのう。"""
un_065160_0060#0,"""ハルコタンに平和が戻ったのも<br>すべては、あなた方のおかげだ。<br>ありがとう。"""
un_065160_0070#0,"""ううん。<br>スクナヒメも頑張ってくれたし<br>コトシロさんも手伝ってくれた。"""
un_065160_0080#0,"""みんなで頑張って<br>みんなが望んだから……<br>今に繋げることができた。"""
un_065160_0090#0,"""そうだよね？<br><%me>！"""
un_065160_0100#0,"""みんなのおかげだ"""
un_065160_0110#0,"""マトイのおかげだ"""
un_065160_0120#0,"""うん、そうだよね。<br>誰が欠けても、この結果はなかった。<br>みんなのおかげ、なんだよ！"""
un_065160_0130#0,"""も、もう……<%me>まで。<br>褒めたって、何もでない……よ？"""
un_065160_0140#0,"""かかっ、これにて一件落着。<br>めでたし、めでたし……"""
un_065160_0150#0,"""……そういえば、コトシロよ。<br>白の王が、そなたを娘の婿として<br>迎え入れたいと言っておったぞ。"""
un_065160_0160#0,"""……は？"""
un_065160_0170#0,"""なんでも、白の王の娘がな……<br>そなたに惚れておるらしくての。"""
un_065160_0180#0,"""なっ……！？<br>いったいなぜ、そのようなことに！"""
un_065160_0190#0,"""そのような、とは失礼な奴じゃの。<br>憶えがないとは言わせぬぞ。"""
un_065160_0200#0,"""かなり前じゃが……<br>わらわが、かの黒い童のもとに<br>一人で挑みに行った折……"""
un_065160_0210#0,"""そなた、白の民たちに<br>大声で発破をかけたそうじゃの？"""
un_065160_0220#0,"""えっと、黒の民がみんな【双子】に<br>食べられちゃって……スクナヒメが<br>一人で決着をつけようとした時？"""
un_065160_0230#0,"""うむ、その時じゃ。<br>コトシロが灰の転移で助けに来た時は<br>驚かされたわい。"""
un_065160_0240#0,"""して、その熱い演説を聞いた娘が<br>そなたの勇敢な姿と魂のこもった言葉に<br>心を奪われたそうじゃ。"""
un_065160_0250#0,"""……初耳です。"""
un_065160_0260#0,"""じゃろう？"""
un_065160_0270#0,"""して、どうじゃ？"""
un_065160_0280#0,"""どう、と申されましても……"""
un_065160_0290#0,"""煮え切らん態度じゃの。<br>そなた、いつまで独り身でおる<br>つもりなんじゃ？"""
un_065160_0300#0,"""いや、それは……"""
un_065160_0310#0,"""わらわとしても<br>そろそろ、孫の顔が見たいのう。"""
un_065160_0320#0,"""わ、私は……"""
un_065160_0330#0,"""ふふっ。<br>コトシロさん、タジタジだね。"""
un_065160_0340#0,"""ハルコタンも、もう大丈夫みたい。<br>よかった！"""
