IncidentName#0,"""กำจัด $(0)"""
TrialBeginMsg#0,"""กำจัด $(0) !"""
TrialAbstract#0,"""กำจัด $(0) !"""
IncidentName#1,"""$(0)討伐"""
TrialBeginMsg#1,"""$(0)を討伐せよ！"""
TrialAbstract#1,"""$(0)を討伐せよ！"""
NpcComOnBegin#0,"""รายงานฉุกเฉิน<br>พบปฏิกริยาจากศัตรูที่ร้ายกาจ<br>ขอให้ทำการกำจัดทิ้งโดยเร็ว"""
NpcComOnSuccess#0,"""/face2 ปฏิกริยาจากศัตรูหายไปแล้ว<br>ขอบพระคุณที่ให้ความร่วมมือ"""
NpcComOnFailure#0,"""/face4 ปฏิกริยาจากฝ่ายเราหายไปหมดแล้ว<br>กำลังดำเนินการส่งกลับ Campship"""
HP_Under_50#0,"""พลังชีวิตของ $(0) ลดลงแล้ว!"""
HP_Under_10#0,"""พลังชีวิตของ $(0) เหลือไม่มากแล้ว!"""
NpcComLastEnemy#0,"""เหลืออีกตัวเดียวค่ะ!"""
NpcComOnBegin#1,"""緊急通達。<br>強力な敵性反応を確認<br>早急な撃破をお願いします。"""
NpcComOnSuccess#1,"""/face2 敵性反応、消失しました<br>各員の努力に感謝します。"""
NpcComOnFailure#1,"""/face4 交戦中の隊員の反応が消失しました。<br>ただちにキャンプシップへの<br>転送を図ります。"""
HP_Under_50#1,"""$(0)残存体力、低下！"""
HP_Under_10#1,"""$(0)残存体力、あとわずかです！"""
NpcComLastEnemy#1,"""残り一体です！"""
NpcComOnBegin#2,"""ระ รายงานฉุกเฉินค่า!<br>เรดาห์บอกว่าพบศัตรูที่ร้ายกาจมากๆ !<br>รีบกำจัดมันทิ้งให้ทีนะค้า!"""
NpcComOnSuccess#2,"""/face2 ปฏิกริยาของศัตรูหายไปแล้ว!<br>ขอบคุณมากนะคะทู้กคน!"""
NpcComOnFailure#2,"""/face6 อว๋า...ฝ่ายเราแพ้หมดแล้วค่ะ...<br>จะส่งกลับ Campship ให้นะคะ..."""
HP_Under_50#2,"""พลังชีวิตของ $(0) ลดลงแล้วจ้า!"""
HP_Under_10#2,"""พลังชีวิตของ $(0) เหลือไม่มากแล้วจ้า!"""
NpcComLastEnemy#2,"""/face2 เหลืออีกตัวเดียวค่ะ อีกตัวเดียว!"""
NpcComOnBegin#3,"""きっ、緊急通達ですー！<br>強力な敵さんの反応を確認！<br>急いで撃破しちゃってくださーい！"""
NpcComOnSuccess#3,"""/face2 敵さんの反応消失ーっと！<br>みなさん、お疲れ様でしたー！"""
NpcComOnFailure#3,"""/face6 あああー……交戦中のアークス<br>やられちゃいましたぁ……<br>キャンプシップへ転送しますー……"""
HP_Under_50#3,"""$(0)残存体力、低下ですよー！"""
HP_Under_10#3,"""$(0)残存体力、あとわずかですよー！"""
NpcComLastEnemy#3,"""/face2 あと一体！\u3000あと一体！"""
