ssc_501080_0010#0,"""ねえ、<%me>。<br>ちょっと、こっちに来てみてよ。"""
ssc_501080_0020#0,"""ほら見て。<br>すごくいい眺め。"""
ssc_501080_0030#0,"""クヴァリスって、<br>どこもキレイだよねぇ。"""
ssc_501080_0040#0,"""……この景色が、昔のダークファルスとの戦いで<br>できたんだと思うと、複雑だけど……。"""
ssc_501080_0050#0,"""うぅー。高い場所だからかな。<br>さすがに寒いね。"""
ssc_501080_0060#0,"""この服がなかったら、<br>ここまで登ってこられなかったかも。"""
ssc_501080_0070#0,"""マノンは、体内のフォトンを活性化させれば、<br>このくらいの寒さは大丈夫……みたいな話をしてたけど。"""
ssc_501080_0080#0,"""やっぱり、寒いのは寒いと思う……。"""
ssc_501080_0090#0,"""その服はどうしたの？"""
ssc_501080_0100#0,"""ふだんと違う服だよね。"""
ssc_501080_0110#0,"""これは、クロフォードからもらったんだ。"""
ssc_501080_0120#0,"""……ううん、正確には、<br>お父さんが用意してくれてたんだって。"""
ssc_501080_0130#0,"""これは、お父さんが遺してくれたみたい。"""
ssc_501080_0140#0,"""セントラルシティに保管されてたって、<br>クロフォードが教えてくれたの。"""
ssc_501080_0150#0,"""お父さん、自分になにかあったときのために、<br>セントラルシティにいろいろと用意してたみたい。"""
ssc_501080_0160#0,"""なんでも、思いつきで行動するような人だったけど、<br>ちゃんと先のことまで考えてたんだなって。"""
ssc_501080_0170#0,"""最近になって、ようやくわかるようになってきた。"""
ssc_501080_0180#0,"""あたしのために、この服を用意してたってことは、<br>あたしがここに来ることも予想してたってことだよね。"""
ssc_501080_0190#0,"""戦いかたとか、ほとんど教わったことなかったけど、<br>いつかはそういうのも、教えてくれるつもりだったのかな……。"""
ssc_501080_0200#0,"""……ところで、<%me>は、<br>いつも好きな格好をしてるけど、寒いときはないの？"""
ssc_501080_0210#0,"""へっちゃら。"""
ssc_501080_0220#0,"""根性で。"""
ssc_501080_0230#0,"""へぇー。<br>それも、“星渡り”の力なのかな？"""
ssc_501080_0240#0,"""なんだか、不思議だね。"""
ssc_501080_0250#0,"""そ、そうなんだ。<br>あんまり無理しちゃダメだよ。"""
ssc_501080_0260#0,"""……さてと、あたしは<br>もう少しだけこのあたりを探索してみようかな。"""
ssc_501080_0270#0,"""それじゃあね。"""
