IncidentName#0,"""大量発生したエネミーを討伐せよ！"""
TrialBeginMsg#0,"""制限時間内にエネミーを全て討伐せよ！"""
TrialAbstract#0,"""大量発生したエネミーを討伐せよ！"""
NpcComOnBegin#0,"""多数の敵性反応を感知しました！<br>被害を抑えるため、隔離領域を<br>強化し、対応します！"""
NpcComOnAfterBegin#0,"""隔離領域維持のためのエネルギーを<br>転送します。定期的に回収しながら<br>エネミーを撃破してください。"""
NpcComOnSuccess#0,"""敵性反応、消失確認！<br>隔離領域を通常出力へ戻します！<br>お疲れさまでした！"""
NpcComOnFailure#0,"""隔離領域強化の維持が限界です。<br>安定のため、通常出力へ戻します。"""
NpcComOnBeginEnd#0,"""隔離領域維持のためのエネルギーを<br>転送します。定期的に回収しながら<br>エネミーを撃破してください。"""
NpcComOnEnemy#0,"""$(0)に敵性反応あり！<br>討伐、お願いします！"""
NpcComOnEnemyLast#0,"""$(0)に敵性反応！<br>なんだかちょっと強力な感じです！<br>注意してくださいね！"""
NpcComOnTimeLeftHalf#0,"""隔離領域の強化維持、限界が近いです！<br>エネルギーを回収して<br>なんとか維持してください！"""
NpcComOnTimeLeftLess#0,"""隔離領域の強化維持、もう限界です！<br>急ぎ対処をお願いします！"""
