un_025050_0010#0,"""อ๊ะ......<br>คุณ <%me>"""
un_025050_0020#0,"""เป็นอะไรไปเหรอครับ คุณ Kuhna<br>ป่านนี้แล้วพึ่งจะมารู้สึกกลัวเหรอครับ?"""
un_025050_0030#0,"""......วันนี้ชั้นยังไม่มีอารมณ์<br>ไว้โอกาสหน้าก็แล้วกันค่ะ"""
un_025050_0040#0,"""เหตุผลที่เธอเค้าถอนตัวไป<br>ก็คงเพราะร่างกายถูกใช้บ่อยน่ะครับ<br>คุณ <%me>"""
un_025050_0050#0,"""......ถ้ายังขืนพล่ามไร้สาระไปมากกว่านี้<br>ชั้นจะปลิดชีวิตคุณทิ้งซะเดี๋ยวนี้เลยก็ได้นะคะ?"""
un_025050_0060#0,"""ฮะๆ ผมล้อเล่นน่ะครับ ผมล้อเล่น<br>ในตอนนี้ที่ Luther ได้หายไปแล้ว ทำให้ผม<br>ไม่จำเป็นต้องรีบร้อนที่จะตายแล้วก็ได้น่ะครับ"""
un_025050_0070#0,"""......หมายความว่ายังไงกันคะ?"""
un_025050_0080#0,"""Photoner นั้นน่ะ คือผู้ที่มีตัวตนในอดีตกาล<br>แม้ว่าพวกเค้าจะมีเทคโนโลยีที่สุดยอดดีเลิศขนาดไหน<br>แต่ยุคนั้นก็ยังไม่สามารถที่จะเก็บรักษาร่างกายเอาไว้ได้"""
un_025050_0090#0,"""เอาล่ะ ถ้าเช่นนั้นแล้วร่างกายของ<br>Luther ถูกจัดหามาจากที่ไหน?"""
un_025050_0100#0,"""......คำตอบนั้น อยู่ที่นี่<br>ร่างกายของ ARKS <br>ได้ถูกใช้เป็นภาชนะครับ"""
un_025050_0110#0,"""หากร่างที่ใช้อยู่พังทลายลง<br>ก็จะย้ายไปสู่ร่างที่ได้เตรียมเอาไว้ร่างต่อไป......<br>ยังกับ Dark Falz เลยนะครับ"""
