name01#0,"""アスタルテ"""
text01#0,"""それでは、フォトンに関する問題です。"""
text02#0,"""知識に問題は無いようですね。<br>今後もアークスの一員としての<br>活躍を期待しています。"""
text03#0,"""フォトンに関する知識に問題なし。<br>では、こちらがフォトン関連問題<br>全問正解のご褒美となります。"""
text04#0,"""アスタルテから『アンティ』を受け取りました。"""
text05#0,"""別の問題にも、興味がありましたら<br>挑戦してみてください。"""
text06#0,"""まだフォトンの知識に不安があります。<br>全問正解のご褒美も用意していますので<br>何度でも挑戦してみてください。"""
text07#0,"""まだフォトンの知識に不安があります。<br>以前全問正解されているようですので、<br>再度復習してみてはいかがでしょうか。"""
text00#0,"""アークスの戦闘行動のみならず<br>アークスシップの運用や<br>私たちの生活に必要不可欠なフォトン。"""
text07#1,"""特徴としては、無味無臭無色の粒子。<br>通常そのままでは認識できず<br>使うためには、資質が必要となります。"""
text08#0,"""では、アークスになるために<br>必要不可欠と言われる資質とは、<br>何でしょうか？"""
text01#1,"""無からフォトンを生成する力"""
text02#1,"""フォトンから武器などを生み出す力"""
text03#1,"""フォトンをエネルギーなどに変換する力"""
text04#1,"""不正解です。<br>フォトンは生み出すまでもなく<br>大気中に多量に存在しますよ。"""
text09#0,"""正解は、フォトンをエネルギーなどに<br>変換する資質のことです。<br>アークスに必要不可欠なものです。"""
text10#0,"""アークスは、体内や大気中のフォトンを<br>武器に付与したり、放出することで<br>攻撃手段としているのです。"""
text05#1,"""不正解です。<br>フォトンの性質を考えれば無理では<br>ないのかもしれませんが……"""
text11#0,"""正解は、フォトンをエネルギーなどに<br>変換する資質のことです。<br>アークスに必要不可欠なものです。"""
text12#0,"""アークスは、体内や大気中のフォトンを<br>武器に付与したり、放出することで<br>攻撃手段としているのです。"""
text06#1,"""正解です。<br>フォトンをエネルギーなどに変換する<br>資質を持つ者が、アークスになれます。"""
text13#0,"""アークスは、体内や大気中のフォトンを<br>武器に付与したり、放出することで<br>攻撃手段としているのです。"""
text00#1,"""では、フォトンを扱った<br>戦闘技術についての確認です。"""
text07#2,"""フォトンを用いた武器固有戦闘行動……<br>いってしまえば、必殺技のような技術を<br>何と呼ぶでしょうか？"""
text01#2,"""フォトンアーツ"""
text02#2,"""パッシブスキル"""
text03#2,"""ギアシステム"""
text04#2,"""正解です。"""
text08#1,"""フォトンアーツは武器ごとに異なるので<br>武器変更後はセッティングを忘れずに。"""
text05#2,"""不正解です。"""
text09#1,"""フォトンのエネルギーを攻撃行動に<br>転用し、必殺の一撃を繰り出す。<br>それを「フォトンアーツ」と呼びます。"""
text06#2,"""不正解です。"""
text10#1,"""フォトンのエネルギーを攻撃行動に<br>転用し、必殺の一撃を繰り出す。<br>それを「フォトンアーツ」と呼びます。"""
text00#2,"""続いても、フォトンを用いた<br>戦闘技術について、です。"""
text07#3,"""フォトンを炎などに変換し放出する……<br>いってしまえば、魔法のような技術を<br>何と呼ぶでしょうか？"""
text01#3,"""マジック"""
text02#3,"""テクニック"""
text03#3,"""特殊能力"""
text04#3,"""不正解です。<br>あながち、間違いとも言えませんが<br>呼称は「テクニック」です。"""
text08#2,"""フォトンを具現化し、炎や氷などを<br>生み出し、外敵へ向けて放つ。<br>フォースの得意とする技術です。"""
text05#3,"""正解です。"""
text09#2,"""フォトンを具現化し、炎や氷などを<br>生み出し、外敵へ向けて放つ。<br>フォースの得意とする技術です。"""
text06#3,"""不正解です。それは、<br>武器やユニットに付与される<br>能力の呼称ですね。"""
text10#2,"""正しくは「テクニック」です。"""
text11#1,"""フォトンを具現化し、炎や氷などを<br>生み出し、外敵へ向けて放つ。<br>フォースの得意とする技術です。"""
