st_064110_0010#0,"""唔……啊啊……！"""
st_064110_0020#0,"""……做的很好啊。<br>但是、我的目的也就這樣達成了。"""
st_064110_0030#0,"""什麼！"""
st_064110_0040#0,"""和你們做的相反……！<br>以吾身爲祭品、粉碎靈脈……"""
st_064110_0050#0,"""用戰鬥激發出來的瑪娜<br>聚集力量、粉碎吧！"""
st_064110_0060#0,"""……啊。<br>這是至今為止最不愉快的反應。<br>你不這麼認為嗎、哈莉艾特？"""
st_064110_0070#0,"""……真棒啊、哈莉艾特大人。"""
st_064110_0080#0,"""瓦爾納……爲什麼要這樣……<br>示巴真的是應該賭上性命<br>去付出的對象嗎？"""
st_064110_0090#0,"""我、不太明白。<br>但是、即使我在這裏死去<br>我的主人也不會流淚吧。"""
st_064110_0100#0,"""……但是、那又怎麼樣呢？"""
st_064110_0110#0,"""忠義並不是爲了尋求主人<br>的回報而發揮的。<br>沒有什麼不情願、這是理所當然的。"""
st_064110_0120#0,"""這樣為了主人<br>半途凋零<br>毫無疑問也是我的意志。"""
st_064110_0130#0,"""但是、哈莉艾特大人……"""
st_064110_0140#0,"""我……不、屬下、在這裡的時候<br>並不是作為義之男神……<br>而是作為您的屬下。"""
st_064110_0150#0,"""雖然時間很短<br>但能和您在一起<br>屬下……非常感謝。"""
st_064110_0160#0,"""……瓦爾納。"""
st_064110_0170#0,"""守護輝士……什麼是正確的<br>什麼是錯誤的、我不知道。"""
st_064110_0180#0,"""你與主人戰鬥的結局<br>才是這個世界的選擇吧。"""
st_064110_0190#0,"""所以……接下來、拜託你了。"""
st_064110_0200#0,"""瓦爾納……請安息吧……"""
st_064110_0210#0,"""哈莉艾特……"""
st_064110_0220#0,"""……沒關係的、瑪爾伽蕾塔。<br>沒有緬懷的時間。<br>在這期間戰鬥還在繼續。"""
st_064110_0230#0,"""如果不抑制靈脈、不啓動結界的話<br>歐米伽和神諭哪一方都不會迎來和平。<br>……我在這裏成爲楔子。"""
st_064110_0240#0,"""敵勢力活動、停止了！<br>這就是、封印光子族力量的結界……！"""
st_064110_0250#0,"""但是我不是少名比売<br>所以不能說什麼都完美。<br>我覺得結界的效果也不是萬全的。"""
st_064110_0260#0,"""爲了在這裏繼續維持結界<br>我要留在這裏。"""
st_064110_0270#0,"""但是、我的結界的維持<br>能到哪裏也不知道。<br>所以……請多多關照、守護輝士。"""
st_064110_0272#0,"""那樣的話、我也會留在這裏的。<br>因爲哈莉艾特是我們國家的神<br>我是我們國家的神王！"""
st_064110_0274#0,"""謝謝你、瑪爾伽蕾塔。"""
st_064110_0280#0,"""……莉莎、謝謝你<br>一直陪伴我到現在。<br>你……真的很強大。"""
st_064110_0290#0,"""哎呀哎呀哎呀、能不能請您不要說這種<br>好像今生就要離別的臺詞啊？"""
st_064110_0300#0,"""嗯？　話雖如此<br>你的今生已經結束了<br>所以也許沒有錯。"""
st_064110_0310#0,"""嗯、這個暫且不提。<br>莉莎可完全沒有<br>要和你分手的意思。"""
st_064110_0320#0,"""還有很多好玩的事情。<br>所以、等全部結束後<br>再見面吧。"""
st_064110_0330#0,"""…………是的。"""
