un_012100_0001#0,"""？？？"""
un_012100_0010#0,"""♪（歌っているが、歌自体がどうなるか）<br>（アカペラ的な感じ。できるんかな？）"""
un_012100_0020#0,"""……ん？\u3000あ……！"""
un_012100_0030#0,"""あ、いや、えっと、これは……！<br>なんというか、なんていうか！<br>そ、そのっ、違うんです！"""
un_012100_0040#0,"""え……？"""
un_012100_0050#0,"""危ない！"""
un_012100_0060#0,"""逃げて！"""
un_012100_0070#0,"""……きゃあっ！"""
un_012100_0080#0,"""は、ハドレッド……！？<br>う、裏切り者が何をしに！"""
un_012100_0090#0,"""いまさらダーカーから<br>わたしを助けるなんて……！"""
un_012100_0100#0,"""恩でも売ったつもりですか！？<br>許しを請うつもりですか！？"""
un_012100_0110#0,"""でも、もう遅い、全て遅いんですよ！"""
un_012100_0120#0,"""なぜ裏切ったんです！<br>なぜ……なんで、あなたが……！"""
un_012100_0130#0,"""ま、待ちなさい！<br>ハドレッド、ハドレッドっ！"""
un_012100_0140#0,"""逃げるな！\u3000わたしと戦え！"""
un_012100_0150#0,"""A.P.238/4/10"""
