Title#0,"""採掘場遺跡探索"""
Explanation#0,"""此次委託的目的為調查位於莉莉芭行星其他地域的<br>採掘場遺跡。<br><br>請各位在採掘場遺跡內自由進行探索。<br><br><br><br><br>――――――――――――――――――――<br>失敗條件／在最深處敗北"""
Title#1,"""採掘場跡探索"""
Explanation#1,"""惑星リリーパの別地域に存在する<br>採掘場跡の調査が目的となる。<br><br>採掘場跡を各位、自由に探索せよ。<br><br><br><br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""朝最深處前進！"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
