11_voice_NPC_5003_104#0,"""ว่ากันว่าท่านจะได้ PSE bursts <br>เมื่อต่อสู้ติดต่อกันเป็นเวลานาน"""
text02#0,"""นั่นคงเป็นเหตุที่ข้าไม่เคยเห็นมันเลย<br>เพราะปกติแล้วข้าจะหนีไปก่อนที่การ<br>ต่อสู้จะเริ่มขึ้นเสมอ"""
text03#0,"""ข้าไม่คิดว่าข้าจะเห็นมันในเร็วๆนี้<br>มันก็ช่วยไม่ได้แต่ข้าก็รู้สึกเหมือน<br>ขาดอะไรบางอย่างไป"""
text04#0,"""ท่านช่วยอะไรข้าหน่อยได้ไหม?<br>ถ้าท่านได้ใช้ PSE burst ในครั้งหน้า<br>ช่วยเก็บข้อมูลมาหน่อย"""
text05#0,"""มันง่ายมาก เพราะท่านแค่ลองใช้มัน<br>ข้อมูลจะถูกเก็บโดยอัตโนมัติ"""
text100#0,"""PSE"""
text101#0,"""กำจัดศัตรูอย่างต่อเนื่องจะกระตุ้น Photon ได้<br>ซึ่งจะส่งผลต่อความสามารถของ ARKS<br>ซึ่งผลของเอฟเฟคนี้ถูกเรียกว่า PSE (Photon Saturation Effect)<br><br>PSE จะให้โบนัสต่างๆ เช่น อัตราดรอป Meseta หรือ ค่าประสบการณ์ในการต่อสู้ (EXP) เพิ่มขึ้น"""
text102#0,"""PSE มี 8 ระดับ โดยระดับจะสูงขึ้นเมื่อท่านกำจัดศัตรู และจะเพิ่มผลของเอฟเฟคให้ดียิ่งขึ้น<br><br>เมื่อ Photons ของ PSE อยู่ในระดับ 8 จะสามารถใช้งาน PSE burst ได้<br>โดยจะส่งผลให้เพิ่มค่า Stat มหาศาล"""
text103#0,"""เอฟเฟคนี้จะอยู่ได้ในเวลาจำกัด แต่มันจะเพิ่มโดย<br>การกำจัดศัตรูและรักษา Photon ให้อยู่ในภาวะตื่นตัว<br><br>ก่อนจะเกิด PSE ท่านจะรู้สึกถึงสัญญาณบางอย่าง<br>พยายามสังเกตุและใช้ PSE ให้เกิดประโยชน์สูงสุด"""
11_voice_NPC_5003_104#1,"""ＰＳＥバーストってさ、ずーっと<br>戦い続けてたら起こるんだってよ。"""
text02#1,"""そりゃおれは見られないわけだよ。<br>基本的に一人で動くし、戦う前に<br>逃げるからな。"""
text03#1,"""ま、これからも縁はなさそうだけど<br>ＰＳＥバースト自体にはちょっと<br>興味があるんだよな。"""
text04#1,"""だから、相棒！<br>今度ＰＳＥバーストを体験することが<br>あったら、データを取っといてくれ！"""
text05#1,"""別に難しいことはなにもなくて<br>現象を体験しただけで、データは<br>勝手に取られてるからさ！"""
text100#1,"""『ＰＳＥ』について"""
text101#1,"""エネミーを撃破していくことで、大気中に漂うフォトンが刺激され<br>アークスの能力を補正するような効果を持つことがあります。<br>この効果はＰＳＥと呼称されます。<br>（Photon Sensitive Effect）<br><br>ＰＳＥによる補正効果としては、純粋な能力向上の他に<br>ドロップするメセタ量の増加や、戦闘による経験値が増加するなど<br>多種多様なものがあります。"""
text102#1,"""また、ＰＳＥは８つの段階を持ち、エネミーの撃破を続けると<br>段階の上昇を経て、補正効果が強化されていきます。<br><br>８段階目の状態で、さらにフォトンが刺激されると<br>「ＰＳＥバースト」と呼ばれる状態に移行します。<br><br>ＰＳＥバーストが起きると、度重なるＰＳＥによって<br>大気中のフォトンが激しく励起した状態になるため<br>劇的な能力向上が見られます。"""
text103#1,"""その分、効果時間は限定的なものとなりますが<br>エネミーを撃破し、フォトンの励起を助長することで<br>効果時間を延ばすことが可能です。<br><br>ＰＳＥが発生する前には、何らかの予兆があるので<br>上手く前兆を掴み、ＰＳＥを利用してみてください。"""
