name_7198#0,"""ホロマン"""
ssn_005160_0001#0,"""おや、よく来たね。<br>ボクはテクター教導官のホロマン。"""
ssn_005160_0002#0,"""テクターについて、学んでみる？"""
ssn_005160_0101#0,"""おや、よく来たね。ボクはホロマン。<br>法撃クラス教官の補佐役を務めているんだ。"""
ssn_005160_0102#0,"""話はグイーデンさんから聞いているよ。<br>ホーニャンさんの代わりに、ボクがテクターについて教えてあげるよう。"""
ssn_005160_0151#0,"""ん？\u3000どうやらテクターではないみたいだね。"""
ssn_005160_0152#0,"""まずは”クラスカウンター”でテクターになってきてくれるかな。"""
ssn_005160_0153#0,"""あと、テクターのクラススキルを習得するのも忘れないようにね。"""
ssn_005160_0301#0,"""おや、いいのかい？<br>学びたくなったら、またおいでよ。"""
ssn_005160_0103#0,"""テクターは味方の補助に秀でたクラスなんだ。"""
ssn_005160_0104#0,"""クラススキルも、<br>味方の攻撃力や防御力をあげたりするものが多いね。"""
ssn_005160_0105#0,"""戦いながら補助を行うことで、<br>仲間に大きく貢献できるクラスって言えるかな。"""
ssn_005160_0106#0,"""え？\u3000オススメのクラススキルは何かって？"""
ssn_005160_0107#0,"""うーん……そうだなー。<br>やっぱり“シフタ・デバンド”かな。"""
ssn_005160_0108#0,"""まあ、上手く使って、敵を倒してみてよ。"""
ssn_005160_0109#0,"""課題を出すから、やってもらおう。<br>でも、焦らないでいいから。ゆっくり確実に、ね。"""
ssn_005160_0201#0,"""上手く戦えたみたいだね。<br>なかなか筋はいいと思うよ。"""
ssn_005160_0202#0,"""まあ、最初は慣れないこともあるかもしれないけど、<br>いろいろ覚えて技を磨いていってよ。"""
