text01101#0,"""よくぞ参られた。<br><%me>殿。"""
text01102#0,"""私がアークマである。"""
text01103#0,"""アークスシップ対抗戦に関する<br>幾多の情報提供および<br>スターによる賞品の購入を担当する。"""
text01104#0,"""ん？"""
text01105#0,"""貴君の表情から<br>理解があいまいな状態と推測する。"""
text01106#0,"""ならば、さっそくだが<br>私の任務を遂行するとしよう。"""
text01107#0,"""これよりアークスシップ対抗戦の<br>ルール説明をチュートリアルにて行う。"""
text01108#0,"""スキップせずに<br>しっかり確認する事を推奨する。"""
text01201#0,"""いかがだっただろうか。<br>貴君ならば<br>理解可能だったと推測する。"""
text01202#0,"""再度ルール確認を行う場合は<br>チュートリアルから<br>確認する事を推奨する。"""
text01203#0,"""チュートリアルは<br>メインメニューのインフォメーションで<br>参照可能である。"""
text01204#0,"""イベントの開始や終了時刻については<br>私が全アークスに向けて<br>一斉にアナウンスを行う。"""
text01205#0,"""それでは<br><%me>殿。<br>イベント開催までしばしの間待機せよ。"""
text00#0,"""『アークスシップ対抗戦』について"""
text01#0,"""「アークスシップ対抗戦」について説明します。<br><br>アークスシップ対抗戦は、<yellow>期間限定で開催されるイベント<c>です。<br>全シップを「赤ラッピーグループ」「青ラッピーグループ」など<br>いくつかのグループに分け、それぞれ<c ff007f>「勝ち点」<c>を競います。<br><br>最終的に、<yellow>最も<c ff007f>「勝ち点」<yellow>が高かったグループ<c>が優勝です。<br><br>このイベントは、<c ffa800>「アークマ」<c>がナビゲーターを務めます。<br>アークマにアクセスすることで、現在の目標や順位を確認できたり、<br><yellow>入手した「スター<pict sb_star_icon><yellow>」で賞品を購入<c>できます。"""
text02#0,"""<yellow>■何をすればいいの？<c><br>このイベントでは、各プレイヤーは「ラウンド目標」を次々と達成し、<br>報酬の<yellow>「スター<pict sb_star_icon><yellow>」<c>と<yellow>「貢献ポイント」<c>を獲得していきます。<br>貢献ポイントの多いグループほど、最後に高い<c ff007f>「勝ち点」<c>を得ます。<br><br>\u3000<green>・ラウンド目標とは<c><br>\u3000\u3000アークスシップ対抗戦は、複数の「ラウンド」で構成されています。<br>\u3000\u3000各ラウンドには「龍族を○匹倒せ」「特定クエストのクリア」などの<br>\u3000\u3000「ラウンド目標」が設定されており、達成すると報酬がもらえます。<br><br>\u3000<green>・ラウンド目標達成でもらえる報酬<c><br>\u3000\u3000<yellow>「スター<pict sb_star_icon><yellow>」<c>……アークマのショップで賞品を購入するための通貨<br>\u3000\u3000<yellow>「貢献ポイント」<c>……所属グループの順位を上げるポイント"""
text03#0,"""<yellow>■勝ち負けのルールについて<c><br><br>ラウンド終了ごとに、参加者全員の「貢献ポイント」が集計され、<br>このポイントが多いグループ順に<c ff007f>「勝ち点」<c>が付与されます。<br><br>１位は５点、２位は４点という具合で、最終的に全ラウンドが終了した<br>時点で<c ff007f>「累計勝ち点」<c>が<yellow>最も高かったグループが優勝<c>となります。<br><br>ラウンド終了後、ショップエリアにある巨大モニターで「結果発表」が<br>行われますので、アナウンスがあったらみんなで集まりましょう！<br><br>全ラウンドが終了して「最終結果発表」が終わると、順位報酬として<br>参加者にスター<pict sb_star_icon>が渡され、アークマのショップに追加賞品が並びます。"""
text04#0,"""<yellow>■メニューについて<c><br><br>アークスシップ対抗戦に関するメニューは、大きく２つあります。<br><br>\u3000<green>・メインメニュー<c><br>\u3000\u3000「クエスト」＞「開催中イベント」＞「アークスシップ対抗戦」で<br>\u3000\u3000あなたの現在の所持スター<pict sb_star_icon>数や、開催中のラウンド情報で<br>\u3000\u3000現在の「ラウンド目標」などを確認できます。<br><br>\u3000<green>・対抗戦メニュー<c><br>\u3000\u3000アークマに話しかけた時のメニューからは、過去のラウンド情報や<br>\u3000\u3000現在の<c ff007f>「累計勝ち点」<c>情報を確認できます。<br>\u3000\u3000スター<pict sb_star_icon>を使用し、賞品を購入するショップもこちらです。"""
text05#0,"""<yellow>■その他の説明<c><br><br>\u3000<green>・「ラウンドブースト」について<c><br>\u3000\u3000各ラウンドの結果に応じて、<br>\u3000\u3000獲得経験値アップやレアドロップ倍率などのブーストの倍率が変わります。<br>\u3000\u3000次に向けて頑張りましょう！<br><br>\u3000<green>・シップ移動に関する注意事項<c><br>\u3000\u3000所持スター<pict sb_star_icon>数や貢献ポイントは<yellow>各シップに保存<c>されており、<br>\u3000\u3000シップ移動をしても、移動先のシップに持って行くことはできません。<br><br>※このチュートリアルは、メインメニューの<br>\u3000\u3000「システム」＞「インフォメーション」＞「チュートリアル確認」で<br>\u3000\u3000いつでも見ることができます。"""
