name010#0,"""나즌"""
text010#0,"""さぁ！\u3000いよいよ最後のクイズです！"""
text020#0,"""題して、\""ここはどこでしょう？\""クイズ！"""
text021#0,"""今から表示される画像を見て、どこに設置されている<br>류커 디바이스かを当ててください。"""
text030#0,"""周囲の景色から、ヒントを見つけてくださいね。<br>렛츠 씽킹!"""
text040#0,"""타임 업!"""
text080#0,"""これで、すべてのクイズが終了です。"""
text081#0,"""……と、ちょっと待ってください？"""
text082#0,"""おおっと！<br>またしても、エネミーが会場に乱入!?"""
quiz00_01#0,"""없음"""
quiz_correct#0,"""축하드립니다!"""
quiz_incorrect#0,"""아쉽네요…."""
quiz01#0,"""ここはどこでしょう？"""
quize01_select1#0,"""クライアノ断崖"""
quize01_select2#0,"""라카우 해안"""
quize01_select3#0,"""할파나 평원：東"""
quize01_select4#0,"""할파나 평원：北"""
quize02_select1#0,"""할파나 평원：東"""
quize02_select2#0,"""할파나 평원：北"""
quize02_select3#0,"""마그너스산：西"""
quize02_select4#0,"""발플로우 대폭포：西"""
quize03_select1#0,"""마그너스산：西"""
quize03_select2#0,"""발플로우 대폭포"""
quize03_select3#0,"""라카우 해안"""
quize03_select4#0,"""カナイ島"""
quize04_select1#0,"""이하나산：西"""
quize04_select2#0,"""ダナン雪原：西"""
quize04_select3#0,"""ベルガナ遺跡：北"""
quize04_select4#0,"""라트바산：北"""
quize05_select1#0,"""ダナン雪原：西"""
quize05_select2#0,"""ミストラ樹林：北"""
quize05_select3#0,"""クイール山道"""
quize05_select4#0,"""이하나산：東"""
quize01_answer#0,"""정답은…<br><red>クライアノ断崖<c>입니다!"""
quize02_answer#0,"""정답은…<br><red>할파나 평원：東<c>입니다!"""
quize03_answer#0,"""정답은…<br><red>마그너스산：西<c>입니다!"""
quize04_answer#0,"""정답은…<br><red>이하나산：西<c>입니다!"""
quize05_answer#0,"""정답은…<br><red>ダナン雪原：西<c>입니다!"""
quize06_select1#0,"""마그너스산：東"""
quize06_select2#0,"""마그너스산：西"""
quize06_select3#0,"""발플로우 대폭포：西"""
quize06_select4#0,"""피코트산"""
quize06_answer#0,"""정답은…<br><red>마그너스산：東<c>입니다!"""
quize07_select1#0,"""라카우 해안"""
quize07_select2#0,"""クライアノ断崖"""
quize07_select3#0,"""에아리오 타운 흔적"""
quize07_select4#0,"""カナイ島"""
quize07_answer#0,"""정답은…<br><red>라카우 해안<c>입니다!"""
quize08_select1#0,"""ベルガナ遺跡：南"""
quize08_select2#0,"""ベルガナ遺跡：北"""
quize08_select3#0,"""ミストラ樹林：南"""
quize08_select4#0,"""ダナン雪原"""
quize08_answer#0,"""정답은…<br><red>ベルガナ遺跡：南<c>입니다!"""
quize09_select1#0,"""ミストラ樹林：南"""
quize09_select2#0,"""ベルガナ遺跡：北"""
quize09_select3#0,"""ベルガナ遺跡：南"""
quize09_select4#0,"""ダナン雪原"""
quize09_answer#0,"""정답은…<br><red>ミストラ樹林：南<c>입니다!"""
quize10_select1#0,"""라트바산：北"""
quize10_select2#0,"""ダナン雪原：西"""
quize10_select3#0,"""ベルガナ遺跡：北"""
quize10_select4#0,"""이하나산：西"""
quize10_answer#0,"""정답은…<br><red>라트바산：北<c>입니다!"""
quize11_select1#0,"""ステッキン低地"""
quize11_select2#0,"""モラーバ渓谷"""
quize11_select3#0,"""サガーン山道：西"""
quize11_select4#0,"""サガーン山道：東"""
quize11_answer#0,"""정답은…<br><red>ステッキン低地<c>입니다!"""
quize12_select1#0,"""サガーン山道：東"""
quize12_select2#0,"""モラーバ渓谷"""
quize12_select3#0,"""サガーン山道：西"""
quize12_select4#0,"""ステッキン低地"""
quize12_answer#0,"""정답은…<br><red>サガーン山道：東<c>입니다!"""
quize13_select1#0,"""アルディマンド砂漠"""
quize13_select2#0,"""トリニテス"""
quize13_select3#0,"""ダルスマブル砂漠"""
quize13_select4#0,"""ガルネール海岸：東"""
quize13_answer#0,"""정답은…<br><red>アルディマンド砂漠<c>입니다!"""
quize14_select1#0,"""ダルスマブル砂漠"""
quize14_select2#0,"""トリニテス"""
quize14_select3#0,"""アルディマンド砂漠"""
quize14_select4#0,"""ガルネール海岸：東"""
quize14_answer#0,"""정답은…<br><red>ダルスマブル砂漠<c>입니다!"""
quize15_select1#0,"""ガルネール海岸：西"""
quize15_select2#0,"""ステッキン低地"""
quize15_select3#0,"""アルディマンド砂漠"""
quize15_select4#0,"""ガルネール海岸：東"""
quize15_answer#0,"""정답은…<br><red>ガルネール海岸：西<c>입니다!"""
quize16_select1#0,"""アルテラ베이스"""
quize16_select2#0,"""フェルーサ岩稜：第２"""
quize16_select3#0,"""デクスト베이스：第１"""
quize16_select4#0,"""デクスト베이스：第２"""
quize16_answer#0,"""정답은…<br><red>アルテラ베이스<c>입니다!"""
quize17_select1#0,"""デクスト베이스：第１"""
quize17_select2#0,"""フェルーサ岩稜：第２"""
quize17_select3#0,"""アルテラ베이스"""
quize17_select4#0,"""デクスト베이스：第２"""
quize17_answer#0,"""정답은…<br><red>デクスト베이스：第１<c>입니다!"""
quize18_select1#0,"""ドライゼン 플랜트：第２"""
quize18_select2#0,"""ドライゼン 플랜트：第１"""
quize18_select3#0,"""フェルーサ岩稜：第１"""
quize18_select4#0,"""노이젠 플랜트"""
quize18_answer#0,"""정답은…<br><red>ドライゼン 플랜트：第２<c>입니다!"""
quize19_select1#0,"""フェルーサ岩稜：第１"""
quize19_select2#0,"""ドライゼン 플랜트：第１"""
quize19_select3#0,"""フェルーサ岩稜：第２"""
quize19_select4#0,"""노이젠 플랜트"""
quize19_answer#0,"""정답은…<br><red>フェルーサ岩稜：第１<c>입니다!"""
quize20_select1#0,"""フェルーサ岩稜：第２"""
quize20_select2#0,"""ドライゼン 플랜트：第１"""
quize20_select3#0,"""フェルーサ岩稜：第１"""
quize20_select4#0,"""노이젠 플랜트"""
quize20_answer#0,"""정답은…<br><red>フェルーサ岩稜：第２<c>입니다!"""
