Title#0,"""デュアルブレードの基礎"""
Explanation#0,"""■訓練メニュー<br>――――――――――――――――――――<br>課題１：デュアルブレードの武器アクション訓練<br>課題２：デュアルブレードギア訓練<br>課題３：実戦訓練<br><br>※ギア上昇率は訓練用に調整されており<br>\u3000\u3000実際のものとは異なります。"""
SimpleExplanation#0,"""３つの課題を達成せよ！"""
Training4_1#0,"""パリィを使ってエネミーの攻撃を防ぐ"""
Training4_2#0,"""ステップエッジをエネミーに当てる"""
Training6_1#0,"""エネミーを攻撃してギアをためる"""
Training6_2#0,"""コネクトをエネミーに使用する"""
Training6_3#0,"""フルコネクトをエネミーに使用する"""
Training9_2#0,"""エネミーを全て討伐せよ！"""
Retry_1#0,"""課題１"""
Retry_2#0,"""課題２"""
Retry_3#0,"""課題３"""
Retry_4#0,"""課題４"""
Retry_5#0,"""課題５"""
Retry_6#0,"""課題６"""
Retry_7#0,"""課題７"""
Retry_8#0,"""課題８"""
Retry_9#0,"""課題９"""
Retry_10#0,"""課題１０"""
