a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""氷上のメリークリスマス2020"""
Explanation#0,"""\\本任務は、クリスマス会場をVR空間にて<br>再現し、士気向上を目的とした訓練です！<br>指示にしたがい、さまざまな支援を<br>駆使して、戦闘を有利に進めてください！<br>ナベリウスの凍土で、たくさんのエネミーを<br>どんどん撃破しましょう！<br>――――――――――――――――――――<br>最後に登場するエネミーの撃破でクリア<br>制限時間経過でクエスト終了"""
NpcComMsg1#0,"""\\これより、ＶＲ訓練を開始します！<br>次々と出現するエネミーを<br>素早く撃破して行きましょう！"""
NpcComMsg2#0,"""\\訓練は、全３ウェーブで構成。<br>また、各ウェーブが始まる時に<br>私から課題を提示します。"""
NpcComMsg3#0,"""\\課題に沿って戦闘することで、<br>効率的にエネミーが倒せますよ。<br>それでは、健闘を祈ります！"""
SimpleExplanation#0,"""全てのエネミーを撃破せよ！"""
Area0S#0,"""凍土エリア1"""
Area0L#0,"""惑星ナベリウス 凍土エリア1"""
Area1S#0,"""凍土エリア2"""
Area1L#0,"""惑星ナベリウス 凍土エリア2"""
