name01#0,"""Lavere"""
name01#1,"""ラヴェール"""
text00#0,"""เยี่ยมมาก ขอบคุณนะ<br>ไว้จะมาให้ช่วยอีก"""
text01#0,"""ถ้าเป็นไอ้นี่ต้องจัดการมันได้แน่<br>ไปก่อนนะ"""
text02#0,"""ได้รับของเรียบร้อย<br>แบบนี้พวก Darker ไม่รอดแน่<br>ขอบใจนะ"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""いい出来だね、おつかれさん。<br>また頼んだよ。"""
text01#1,"""これならあいつらを駆除できる。<br>それじゃあね。"""
text02#1,"""確かに受け取ったよ。<br>ダーカーを残らず殺せそうだ。<br>ありがとね。"""
text03#1,"""ありがとう03"""
text00#2,"""ยอดไปเลยนะไอ้นี่น่ะ<br>เป็นอาวุธที่เหมาะจะใช้ล้างบาง Darker จริงๆ<br>ไว้จะมาให้ช่วยอีกนะ"""
text01#2,"""ดีกว่าที่สั่งไว้ซะอีกนะ<br>แบบนี้พวกมันไม่รอดแน่<br>ไว้เจอกันนะ"""
text02#2,"""ดีกว่าที่ชั้นขอให้ทำซะอีกนะ<br>ถ้าเป็นไอ้นี่ล่ะก็ พวกมันไม่เหลือแน่<br>คราวหน้าก็ฝากด้วยนะ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""いい出来だよ、これ。<br>ダーカーを殺し尽くせる、武器だ。<br>また頼んだよ。"""
text01#3,"""依頼以上のモノだね。<br>あいつらを駆逐できるよ、これ。<br>またよろしく。"""
text02#3,"""アタシが頼んだ以上のモノだね。<br>これなら駆除できるよ、あいつらを。<br>次もよろしく頼むよ。"""
text03#3,"""本当にありがとう03"""
