un_020700_0010#0,"""ここは……海底！？<br>がぼがぼがぼ……こ、呼吸が……"""
un_020700_0020#0,"""なーんてことにはならないよ！<br>安心してね、パティちゃんです！"""
un_020700_0030#0,"""こんにちは、ティアです。<br>もう面倒なんでパティちゃんは<br>無視しましょう。無視無視。"""
un_020700_0040#0,"""ちょっとちょっと、無視しないでー！<br>無視したらもっとつけあがるぞー！"""
un_020700_0050#0,"""つけあがってる自覚はあったんだね！<br>……はぁ、じゃあほらパティちゃん<br>ここの説明とかしてみなよ。"""
un_020700_0060#0,"""おまかせあれ！<br>ここは惑星ウォパルの地下！<br>いわゆる海底部分！\u3000水ないけど！"""
un_020700_0070#0,"""もともとは海底……というか<br>水没していたと思うんだけど<br>今は見ての通り、陸続きの洞窟。"""
un_020700_0080#0,"""不思議な施設も散見されてて<br>目下調査中、ってところね。"""
un_020700_0090#0,"""そのわりに調査結果がぜーんぜん<br>公表されないんだけどねー！"""
un_020700_0100#0,"""コミュニケーション取れる<br>原生住民もいるってわかってるのに<br>通達されてない！\u3000なんでだろ？"""
un_020700_0110#0,"""まだ公表する時期じゃないと見てるか<br>もともと公表する気が無いか……<br>どっちかはわからないかな。"""
un_020700_0120#0,"""ただ、最近この近辺の施設が<br>破壊されているみたい。<br>犯人も目的もまだ不明。"""
un_020700_0130#0,"""その破壊活動のおかげで、もともと<br>凶暴なエネミーがさらに凶暴になって<br>襲ってくるし、もう大変！"""
un_020700_0140#0,"""アナタも、調査に集中しすぎて<br>巻き込まれたりしないように<br>気をつけてねー！"""
