11_voice_NPC_5050_101#0,"""ขอบคุณสำหรับรายงาน ไหนขอดูซิ...อืม ท่านทำได้"""
text02#0,"""ข้าจะเพิ่มระดับความยากให้ท่าน<br><%me>"""
text03#0,"""และข้าขอแนะนำว่า การเพิ่มระดับความยาก<br>จะทำให้การต่อสู้ของท่านยากขึ้นมาก"""
text04#0,"""แม้แต่คู่ต่อสู้ที่ท่านเคยสู้ง่ายมาก่อนก็จะ<br>ยากขึ้นและจะให้ความสนใจท่านมากขึ้น"""
text05#0,"""อย่าประมาทที่นี่"""
text100#0,"""Client Order"""
text101#0,"""Lottie ได้ออก Client Order <br><br>Lottie อยู่ที่ Shop Area บริเวณ South Peripassage"""
text102#0,"""Rubert ได้ออก Client Order  <br><br>Rubert อยู่ที่ Shop Area บริเวณ South Peripassage"""
11_voice_NPC_5050_101#1,"""報告、承りました。<br>結果としても問題なし、十分です。"""
text02#1,"""それではこの場この時をもって<br><%me>の<br>難易度制限を繰り上げます。"""
text03#1,"""……さて、ここからは私の言葉です。<br>無事、制限の解放はなされましたが<br>ここからの戦いは苛烈を極めます。"""
text04#1,"""今まであしらえていた数々の敵も<br>さらに屈強な存在となって<br>貴方に襲いかかってくるでしょう。"""
text05#1,"""どうか、無理だけはしないように。"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""ロッティにクライアントオーダーが発生しました。<br><br>ロッティはショップエリア・南外周通路にいます。"""
text102#1,"""ルべルトにクライアントオーダーが発生しました。<br><br>ルべルトはショップエリア・南外周通路にいます。"""
