BoxGacha_Top_Title#0,"""リワードボックス"""
BoxGacha_Top_Step#0,"""Step.$(0)（進行中）"""
BoxGacha_Top_Step2#0,"""Step.$(0)"""
BoxGacha_Top_Step3#0,"""Step.$(0)（ループ）"""
BoxGacha_Top_Step4#0,"""Step.$(0)（進行中/ループ）"""
BoxGacha_Top_RestGift#0,"""残りアイテム数"""
BoxGacha_Top_RestGift_Num#0,"""$(0)/$(1)"""
BoxGacha_Top_SeasonName#0,"""$(0)"""
BoxGacha_Top_Ticket_Name#0,"""$(0)"""
BoxGacha_Top_Tickets_Num#0,"""$(0)枚"""
BoxGacha_Top_Period#0,"""開催期間"""
BoxGacha_Top_Lots_Draw#0,"""$(0)回引く<br>必要数：$(1)枚"""
BoxGacha_Top_ItemStuckNum#0,"""×$(0)"""
BoxGacha_Top_Confirm_Title1#0,"""メッセージ"""
BoxGacha_Top_Confirm_Detail#0,"""対象メダル$(1)枚を使用して、<br>“$(0)”のアイテムを入手します。<br>よろしいですか？"""
BoxGacha_Top_Confirm_Decide#0,"""はい"""
BoxGacha_Top_Confirm_Cancel#0,"""いいえ"""
BoxGacha_Top_AllComplete#0,"""全アイテム獲得済み"""
BoxGacha_Result_Title#0,"""獲得アイテム一覧"""
BoxGacha_Result_Detail#0,"""以下のアイテムを入手しました。"""
BoxGacha_Result_End#0,"""閉じる"""
BoxGacha_Guide#0,"""決定：<%Decide>\u3000\u3000キャンセル：<%Cancel>\u3000\u3000操作項目の移動：<%NextWidget>"""
BoxGacha_Notice1#0,"""すべてのアイテムを入手しました。Step.$(0)に進みます。"""
BoxGacha_Notice2#0,"""すべてのアイテムを入手しました。次のステップには進まず、現在のステップに再度挑戦できます。"""
BoxGacha_Notice3#0,"""現在のリワードボックスにあるすべてのアイテムを入手しました。"""
Title#0,"""メッセージ"""
EmergencyStopClose#0,"""現在、選択した機能に問題が発生しており<br>調査のため使用を制限しています。<br>詳しくはプレイヤーズサイトをご確認ください。"""
MatchingClose#0,"""マッチング中は実行できません。<br>リワードボックスのウィンドウを閉じます。"""
OtherErrorClose#0,"""予期せぬエラーが発生しました。<br>リワードボックスのウィンドウを閉じます。"""
NoTicket#0,"""対象メダルが不足しています。<br>対象メダルを、<br>アイテムパックに入れた状態で実行してください。"""
NotEnoughTicket#0,"""対象メダルが不足しています。<br>対象メダルを、<br>アイテムパックに入れた状態で実行してください。"""
NoSpaceInWarehouse#0,"""リワードボックスを引くための<br>倉庫の空き容量が不足しています。"""
NotEnoughSpaceInWarehouse#0,"""リワードボックスを引くための<br>倉庫の空き容量が不足しています。"""
OutOfStock#0,"""このステップの報酬は、すべて獲得済みです。"""
NotEnoughStock#0,"""指定したメダル数よりも、残りアイテム数が少ない状態です。"""
Matching#0,"""マッチング中は、リワードボックスを実行できません。"""
OtherError#0,"""予期せぬエラーが発生しました。"""
UseItem#0,"""アイテムが使用できませんでした。"""
UnexpetedClose#0,"""予期せぬエラーが発生しました。<br>リワードボックスのウィンドウを閉じます。"""
