name01#0,"""シエラ"""
11_voice_train_04001#0,"""こんにちは！<br>ここでは「ファイターの基礎」に<br>ついて訓練しましょう！"""
text02#0,"""<red>ツインダガーギア<c>について<br>説明します！"""
text03#0,"""ツインダガーギアの段階が上がると<br><red>フォトンアーツが強化<c>されるんですよ！"""
text04#0,"""それでは、<red>ギアを２段階以上<c>にして<br>フォトンアーツを撃ってみましょう。"""
text101#0,"""課題１：<yellow>ギアを２段階以上ためてフォトンアーツ発動"""
train_title#0,"""課題１：<yellow>ギアを２段階以上ためてフォトンアーツ発動"""
tut_title#0,"""『ツインダガーギア』について"""
text100#0,"""・<%Jump>ジャンプや<%WeaponAction>スピンでギア２段階以上ためる<br>・<%PhotonArts>でフォトンアーツを発動"""
text100_3b#0,"""・<%Jump>ジャンプや<%MainPaletteC>スピンでギア２段階以上ためる<br>・<%PhotonArts>でフォトンアーツを発動"""
tut_win_title#0,"""『ツインダガーギア』について"""
tut_win_text100#0,"""クラススキル「ツインダガーギア」を<br>習得しているとツインダガーの性能を<br>更に引き出すことができます。<br><br>抜刀状態でジャンプやスピンをすることで<br>ギアが上昇します。<br><br>ツインダガーギアの段階に応じて<br>フォトンアーツの威力が強化されます。"""
