un_020410_0010#0,"""......啊，喔，是搭檔啊。<br>怎麼了啊，突然跑這來。"""
un_020410_0020#0,"""咦，是我沒發現而已？<br>抱歉，我剛剛在想事情。"""
un_020410_0030#0,"""......我一直忘不了。<br>就是之前見過面的那傢伙。"""
un_020410_0032#0,"""你問是誰，就是他啊。戰技大會那時候<br>看到的......咦，等等？　那時候我好像不是<br>和搭檔你在一起吧......？"""
un_020410_0034#0,"""......抱歉。總覺得和搭檔<br>形影不離，<br>看來是我弄錯了呢。"""
un_020410_0036#0,"""戰技大會結束之後......<br>我看到一個奇怪的黑暗法爾斯。<br>那副模樣，我一直忘不了。"""
un_020410_0040#0,"""我一直對著自己洗腦......<br>只是很像......只是像而已，<br>但完全沒有用。"""
un_020410_0050#0,"""或許在哪邊可以碰得到面，<br>我抱著著漠然的期待<br>到處晃來晃去。"""
un_020410_0060#0,"""覺得很奇怪吧。<br>提到黑暗法爾斯，<br>應該是最不願碰到的對象吧？"""
un_020410_0070#0,"""但是，我卻為了尋找那傢伙的蹤跡<br>來往奔波著呢。"""
un_020410_0080#0,"""......但是，沒辦法。<br>完全沒有能夠馬上碰面的感覺。"""
un_020410_0090#0,"""......我這人老抓不準時機，<br>想見面的時候見不到人，<br>不想見面的時候卻總是遇到啊。"""
