Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""敵はここで食い止める！"""
Success#1,"""ありがとうございます。<br>おかげでなんとかなりました。"""
Failure#1,"""任務に失敗しました……<br>すみません、先に撤退します。"""
Dead#1,"""もう……限界です……"""
BuddyDead#1,"""大丈夫！？<br>なんとか持ちこたえないと……！"""
Begin#2,"""敵はここで食い止める！"""
Success#2,"""ありがとうございます。<br>おかげでなんとかなりました。"""
Failure#2,"""任務に失敗しました……<br>すみません、先に撤退します。"""
Dead#2,"""もう……限界です……"""
BuddyDead#2,"""大丈夫！？<br>なんとか持ちこたえないと……！"""
Begin#3,"""敵はここで食い止める！"""
Success#3,"""ありがとうございます。<br>おかげでなんとかなりました。"""
Failure#3,"""任務に失敗しました……<br>すみません、先に撤退します。"""
Dead#3,"""もう……限界です……"""
BuddyDead#3,"""大丈夫！？<br>なんとか持ちこたえないと……！"""
Begin#4,"""敵はここで食い止める！"""
Success#4,"""ありがとうございます。<br>おかげでなんとかなりました。"""
Failure#4,"""任務に失敗しました……<br>すみません、先に撤退します。"""
Dead#4,"""もう……限界です……"""
BuddyDead#4,"""大丈夫！？<br>なんとか持ちこたえないと……！"""
