msc_013220_0010#0,"""うっかり囲まれてしまってね。<br>助かったよ！"""
msc_013220_0020#0,"""こんな奥地……ひとりで来ないほうがいいんじゃない？"""
msc_013220_0030#0,"""大丈夫さ。兄妹の中では俺が一番、<br>このクヴァリスリージョンを歩き慣れてるからね。"""
msc_013220_0040#0,"""でもドールズに囲まれてしまったのよね。"""
msc_013220_0050#0,"""ははは、冒険には危険がつきものだからな！"""
msc_013220_0060#0,"""とはいえ、迷惑をかけたのも事実。<br>以後、気を付ける！"""
msc_013220_0070#0,"""トゥーリにも会ったけど、<br>まだイルマの足取りは掴めてないようだったわ。そちらは？"""
msc_013220_0080#0,"""俺の方も空振り続きだ。"""
msc_013220_0090#0,"""あちこち見回ったんだが。<br>本当にあいつは、どこに行ったんだ？"""
msc_013220_0100#0,"""他に調べてないところは？"""
msc_013220_0110#0,"""あとはロストセントラルくらいだな……。"""
msc_013220_0120#0,"""ロストセントラル……。<br>その昔、ダークファルスとの戦いで……氷に閉ざされた都市ね……。"""
msc_013220_0130#0,"""だが、あそこに入るのは無理だ。"""
msc_013220_0140#0,"""周りにいるドールズがとてつもなく強い。<br>近づくのも難しいんだ。"""
msc_013220_0150#0,"""イルマが向かったとは考えにくい。"""
msc_013220_0160#0,"""となると……。"""
msc_013220_0170#0,"""うーむ……。"""
msc_013220_0180#0,"""ここに長居するのは危険だし、<br>とりあえず、一度ロッジに戻りましょうか。"""
msc_013220_0200#0,"""では、俺は一足先にロッジの中で待っているぞ！<br>用事があるなら済ませてから来るといい。"""
