Begin#0,"""開始5151"""
Success#0,"""成功5151"""
Failure#0,"""失敗5151"""
Dead#0,"""自分死亡5151"""
BuddyDead#0,"""相手死亡5151"""
Evolution#0,"""発展5151"""
Begin#1,"""/mn18 /ci2 2 イツキ、落ち着け。<br>冷静に対応すれば大丈夫だ。<br>しかし、この服は落ち着かないな……"""
Success#1,"""/ci2 2 t5 海を満喫？<br>そんなことをして何になるというんだ？"""
Failure#1,"""/mn13 ……少々、分が悪いみたいだ。<br>すまないが、一時撤退する。"""
Dead#1,"""/mn4 く……<br>私としたことが……"""
BuddyDead#1,"""/mn11 イツキ……！<br>冷静に対応しろと言っただろう。"""
Begin#2,"""/mn19 /ci2 2 ……それはわかるが<br>これは少々、軽装すぎやしないか？"""
Success#2,"""/mn9 /ci2 2 t5 ……確かに、な。<br>では、次の所へ向かおう。"""
Failure#2,"""/mn19 /ci2 2 やはりこの着衣では<br>思うように動けないな……"""
Dead#2,"""/mn4 く……<br>こんなところで倒れるわけには……"""
BuddyDead#2,"""無理はするな。<br>後は私が引き受ける。"""
