LightRain_IncidentName#0,"""照射攻撃を凌ぎきれ！"""
LightRain_TrialBeginMsg#0,"""照射攻撃を凌ぎきれ！"""
LightRain_TrialAbstract#0,"""制限時間まで、<br>$(0)回以上照射攻撃を受けるな"""
FaceBeam_IncidentName#0,"""無数の熱線攻撃を凌ぎきれ！"""
FaceBeam_TrialBeginMsg#0,"""無数の熱線攻撃を凌ぎきれ！"""
FaceBeam_TrialAbstract#0,"""制限時間まで、<br>$(0)回以上熱線攻撃を受けるな"""
AttackWave_IncidentName#0,"""巨大エネルギー波を回避せよ！"""
AttackWave_TrialBeginMsg#0,"""巨大エネルギー波を回避せよ！"""
AttackWave_TrialAbstract#0,"""$(0)人以上エネルギー波を受けるな"""
LightRain_NpcComOnBegin#0,"""『禍津』胸部にエネルギーを感知。<br>上空からの照射攻撃に最大限の注意を。"""
LightRain_NpcComOnBegin2#0,"""今は回避に専念する事を推奨します。<br>被弾を$(0)回以内に抑えてください"""
LightRain_NpcComOnSuccess#0,"""エネルギー波の停止を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
LightRain_NpcComOnFailure#0,"""/face4 エネルギー波の停止を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
FaceBeam_NpcComOnBegin#0,"""『禍津』の無数の顔から熱源を感知。<br>熱源から放たれる攻撃に注意を。"""
FaceBeam_NpcComOnBegin2#0,"""熱線攻撃の軌道は予測不能。<br>今は回避に専念する事を推奨します。<br>被弾を$(0)回以内に抑えてください"""
FaceBeam_NpcComOnSuccess#0,"""熱源の沈静化を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
FaceBeam_NpcComOnFailure#0,"""/face4 熱源の沈静化を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
AttackWave_NpcComOnBegin#0,"""『禍津』の掌から高エネルギー反応。<br>付近の簡易唱壁への退避を推奨します。"""
AttackWave_NpcComOnBegin2#0,"""周辺への大規模攻撃が<br>行われるものと推測されます。<br>各員は最大限の警戒をしてください。"""
AttackWave_NpcComOnSuccess#0,"""エネルギー反応の消失を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
AttackWave_NpcComOnFailure#0,"""/face4 高エネルギー反応の消失を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
LightRain_NpcComOnBegin#1,"""『禍津』胸部にエネルギーを感知。<br>上空からの照射攻撃に最大限の注意を。"""
LightRain_NpcComOnBegin2#1,"""今は回避に専念する事を推奨します。<br>被弾を$(0)回以内に抑えてください"""
LightRain_NpcComOnSuccess#1,"""エネルギー波の停止を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
LightRain_NpcComOnFailure#1,"""/face4 エネルギー波の停止を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
FaceBeam_NpcComOnBegin#1,"""『禍津』の無数の顔から熱源を感知。<br>熱源から放たれる攻撃に注意を。"""
FaceBeam_NpcComOnBegin2#1,"""熱線攻撃の軌道は予測不能。<br>今は回避に専念する事を推奨します。<br>被弾を$(0)回以内に抑えてください"""
FaceBeam_NpcComOnSuccess#1,"""熱源の沈静化を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
FaceBeam_NpcComOnFailure#1,"""/face4 熱源の沈静化を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
AttackWave_NpcComOnBegin#1,"""『禍津』の掌から高エネルギー反応。<br>付近の簡易唱壁への退避を推奨します。"""
AttackWave_NpcComOnBegin2#1,"""周辺への大規模攻撃が<br>行われるものと推測されます。<br>各員は最大限の警戒をしてください。"""
AttackWave_NpcComOnSuccess#1,"""エネルギー反応の消失を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
AttackWave_NpcComOnFailure#1,"""/face4 高エネルギー反応の消失を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
LightRain_NpcComOnBegin#2,"""『禍津』胸部にエネルギーを感知。<br>上空からの照射攻撃に最大限の注意を。"""
LightRain_NpcComOnBegin2#2,"""今は回避に専念する事を推奨します。<br>被弾を$(0)回以内に抑えてください"""
LightRain_NpcComOnSuccess#2,"""エネルギー波の停止を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
LightRain_NpcComOnFailure#2,"""/face4 エネルギー波の停止を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
FaceBeam_NpcComOnBegin#2,"""『禍津』の無数の顔から熱源を感知。<br>熱源から放たれる攻撃に注意を。"""
FaceBeam_NpcComOnBegin2#2,"""熱線攻撃の軌道は予測不能。<br>今は回避に専念する事を推奨します。<br>被弾を$(0)回以内に抑えてください"""
FaceBeam_NpcComOnSuccess#2,"""熱源の沈静化を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
FaceBeam_NpcComOnFailure#2,"""/face4 熱源の沈静化を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
AttackWave_NpcComOnBegin#2,"""『禍津』の掌から高エネルギー反応。<br>付近の簡易唱壁への退避を推奨します。"""
AttackWave_NpcComOnBegin2#2,"""周辺への大規模攻撃が<br>行われるものと推測されます。<br>各員は最大限の警戒をしてください。"""
AttackWave_NpcComOnSuccess#2,"""エネルギー反応の消失を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
AttackWave_NpcComOnFailure#2,"""/face4 高エネルギー反応の消失を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
LightRain_NpcComOnBegin#3,"""『禍津』頭部にエネルギーを感知。<br>上空からの照射攻撃に最大限の注意を。"""
LightRain_NpcComOnBegin2#3,"""今は回避に専念する事を推奨します。<br><red>被弾を$(0)回未満<black>に抑えてください。"""
LightRain_NpcComOnSuccess#3,"""エネルギー波の停止を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
LightRain_NpcComOnFailure#3,"""/face4 エネルギー波の停止を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
FaceBeam_NpcComOnBegin#3,"""『禍津』の無数の顔から熱源を感知。<br>熱源から放たれる攻撃に注意を。"""
FaceBeam_NpcComOnBegin2#3,"""熱線攻撃の軌道は予測不能。<br>今は回避に専念する事を推奨します。<br><red>被弾を$(0)回未満<black>に抑えてください。"""
FaceBeam_NpcComOnSuccess#3,"""熱源の沈静化を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
FaceBeam_NpcComOnFailure#3,"""/face4 熱源の沈静化を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
AttackWave_NpcComOnBegin#3,"""『禍津』の掌から高エネルギー反応。<br>付近の<red>物陰への退避<black>を推奨します。"""
AttackWave_NpcComOnBegin2#3,"""周辺への大規模攻撃が<br>行われるものと推測されます。<br>各員は最大限の警戒をしてください。"""
AttackWave_NpcComOnSuccess#3,"""エネルギー反応の消失を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
AttackWave_NpcComOnFailure#3,"""/face4 高エネルギー反応の消失を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
