name01#0,"""シエラ"""
text01#0,"""ダークブラストには<br>強力な必殺技もあるんですよ！"""
text02#0,"""１回の発動中に１度のみ使える<br>必殺技と呼ぶにふさわしい威力を持つ<br><red>「アルティメットインパクト」<c>です！"""
text101#0,"""課題５：<yellow>サブパレットから<br>アルティメットインパクトを使用する"""
train_title#0,"""課題５：<yellow>サブパレットから<br>アルティメットインパクトを使用する"""
tut_title#0,"""アルティメットインパクトの使用について"""
text100#0,"""・<%SubPalette2>でアルティメットインパクトを発動"""
text101#1,"""・<%SubPaletteLeft><%SubPaletteRight>でサブパレット選択変更<br>・<%SubPalette>でアルティメットインパクトを発動"""
text100_v#0,"""・サブパレットから<br>\u3000アルティメットインパクトを選択"""
tut_win_title#0,"""『アルティメットインパクト』について"""
tut_win_text100#0,"""エルダーフォームのスキル<br><c ffff00>「アルティメットインパクト」<c>に<br>ついて説明します。<br><br>アルティメットインパクトは<br>フォトンを両腕に溜めた後<br>自分の前方に全放出するスキルです。<br><br>非常に攻撃範囲が広く<br>攻撃力も高いスキルですが<br>発動中に一度しか使用することができません。"""
