name01#0,"""莉莎"""
name01#1,"""リサ"""
text01#0,"""那麼那麼<br>那就開始吧。"""
text02#0,"""你和莉莎都是遊俠<br>不必太在意只要射殺射殺射殺<br>這樣應該就很愉快了吧。"""
text03#0,"""因為因為因為<br>可以射殺他們享受一下，還能<br>被誇獎唷。"""
text04#0,"""真～的，ARKS真是太貼心了。<br>對莉莎來說是個非常理想的環境哪。"""
11_voice_NPC_5026_100#0,"""雖然不可以射人，這個規定<br>讓人有點遺憾，不過這也沒辦法啦。<br>呵呵呵呵......"""
text01#1,"""ではではあ<br>始めちゃいましょうかあ。"""
text02#1,"""あなたもリサもレンジャーですから<br>特に気にせず撃ってやって撃ってやって<br>それだけで楽しいはずですよお。"""
text03#1,"""だってだってだってえ<br>撃ってやって楽しんで、その上<br>褒められちゃうんですよお。"""
text04#1,"""ほーんと、アークスは至れり尽くせり。<br>リサにとって理想の環境です。"""
11_voice_NPC_5026_100#1,"""ひとを撃っちゃいけない、というのは<br>残念ですけど、仕方がないですねえ。<br>ふふふふっ……"""
