st_064070_0010#0,"""オメガに到着を確認<br>ここはクエント南方の平原部です。"""
st_064070_0020#0,"""……って<br>何かいきなり戦争してるんですけど！？"""
st_064070_0030#0,"""おやおやおやおや<br>これはこれはとっても楽しそうですねえ。<br>で、あれはどちらを撃っていいんですかあ？"""
st_064070_0040#0,"""……いえ、よく見てください！<br>あの敵は……！"""
st_064070_0050#0,"""フォトナーの兵器！？"""
st_064070_0060#0,"""どうして奴らがここに！？"""
st_064070_0070#0,"""あらあらあらら、敵さんの方が<br>リサ達よりも先を行っていたと<br>いうことでしょうかねえ？"""
st_064070_0080#0,"""まずはマルガレータに<br>話を聞きましょう！<br>皆さん、私の元へ！"""
st_064070_0090#0,"""かそけき翼よ、此処へ。<br>スルト！"""
st_064070_0100#0,"""あーでもないこーでもない！<br>あーでもないこーでもない！"""
st_064070_0110#0,"""あーもう手が足りないってーの！<br>神様どころか妖精の手でも<br>借りたいぐらいだってーの！"""
st_064070_0120#0,"""もう誰かなんとか助けてよーっ！"""
st_064070_0130#0,"""な、何か来たぁーッ！？"""
st_064070_0140#0,"""マルガレータ！"""
st_064070_0150#0,"""ハリエット！？<br>アンタ、やーっと戻ってきたのね！"""
st_064070_0160#0,"""って、守護輝士に妖精も！？<br>それに何かおっかなさそうなのまで<br>……何か面倒事の予感がするんだけど？"""
st_064070_0170#0,"""話が早くて助かります。<br>ですがまずはこちらの状況です。<br>あの戦争の相手は、何処から？"""
st_064070_0180#0,"""……黒繭のあった湖から。<br>エルミルとの戦いの時の砦<br>残しておいて正解だったわ。"""
st_064070_0190#0,"""あ、周辺住民の避難は完了してるわ。<br>そっちも心配無用だからね。"""
st_064070_0200#0,"""それじゃ次はアタシから質問。<br>……アレは、何？<br>アンタたちが関係してるんでしょ？"""
st_064070_0210#0,"""……なるほど、守護輝士の世界で<br>極悪超人がよくないことやってるから<br>色々大変なことが起きてるってワケね。"""
st_064070_0220#0,"""それって、ウチ完全にとばっちりじゃない？<br>さっさと倒してよその極悪超人をー。"""
st_064070_0230#0,"""倒せないぐらい強いから<br>困ってるんですって。"""
st_064070_0240#0,"""しかし、こっちの世界でもフォトナーの<br>兵器が出ているとは予想外でしたね。"""
st_064070_0250#0,"""いえいえいえいえ、当然でしょう？<br>ここってアカシックレコードの中<br>みたいなものなんですからねえ。"""
st_064070_0260#0,"""でしたら、リサ達の世界で起きてることが<br>そっくりそのまま起きているとしても<br>何ら不思議なことではないのでは？"""
st_064070_0270#0,"""オラクル側と時間同期が取れているから<br>その影響もリアルタイムに受ける……"""
st_064070_0280#0,"""今まさにオラクルで記録されている歴史。<br>それをオメガは再現しているってことですか。"""
st_064070_0290#0,"""なんか難しいことよくわかんないけど<br>そっちの極悪超人をなんとかしないと<br>こっちも落ち着かないってことよね。"""
st_064070_0300#0,"""要約にも程がありますが<br>そういうことですね。"""
st_064070_0310#0,"""とばっちりだけど一蓮托生ってことね。<br>で、何をすれば良いの？"""
st_064070_0320#0,"""そのための準備をハリエットさんが<br>してくれてるわけですよ。"""
st_064070_0330#0,"""……ただいま戻りました。"""
st_064070_0340#0,"""おかえり、ハリエット。<br>で、どうだった？"""
st_064070_0350#0,"""この世界を支える六つの霊脈のうち<br>五つ、容易に押さえることが出来ました。"""
st_064070_0360#0,"""ですが、残りの一つには<br>私の力でも干渉できず……<br>直接、地に楔を打つしかなさそうです。"""
st_064070_0370#0,"""……なんだか嫌な予感がします。"""
st_064070_0380#0,"""……奇遇ね、妖精。<br>アタシも同じこと思ってたわ。"""
st_064070_0390#0,"""その場所ってもしかして……"""
st_064070_0400#0,"""黒繭の発生していた場所……？"""
st_064070_0410#0,"""……はい。<br>推察の通り、かの敵の集いし場。<br>黒繭の発生していた場所です。"""
st_064070_0420#0,"""霊脈の中心点だからこそ<br>人々を癒やす場所として成立し<br>力を求めたエルミルに悪用されもした。"""
st_064070_0430#0,"""そして今、あの周辺一帯は<br>神の権能をもってしても<br>干渉不可能な状態になっています。"""
st_064070_0440#0,"""つまり、自力であの敵の波を押し分けて<br>中心へ辿りつけ、ってことですね。"""
st_064070_0450#0,"""……ついこの前やったわね、それ。"""
st_064070_0460#0,"""ふふふふふ。<br>敵さんがいっぱいの場所に<br>飛び込んでいくんですねえ。"""
st_064070_0470#0,"""それはそれは、とってもたくさん<br>いっぱい敵さんを撃って撃って<br>撃って撃てるんじゃないかと思うんですが？"""
st_064070_0480#0,"""ああ、楽しみですねえ。楽しみです。<br>特等席、最前線で楽しめそうですよお。"""
st_064070_0490#0,"""……妖精、あれ大丈夫なの？<br>大概ヤバそーな感じなんだけど<br>こっち撃ってきたりしないでしょうね？"""
st_064070_0500#0,"""えーっと……"""
st_064070_0510#0,"""そこで顔背けんな！<br>不安になるでしょーが！"""
st_064070_0520#0,"""そう心配しなくても大丈夫ですよお。<br>誤射は三発までなら誤射じゃありません。"""
st_064070_0530#0,"""そりゃわざと誤射ってるんなら<br>何発やっても誤射じゃないでしょーよ！"""
st_064070_0540#0,"""くっそ、前のとき以上に不安ね！<br>ヴェルンに行ってもらってる剣の巫女に<br>戻ってきてもらえばよかった……！"""
st_064070_0550#0,"""ええいもう、悩んでも仕方がない！<br>やるっきゃないんだったらやるだけよ！<br>神王サマのご出陣よ！\u3000準備準備ーっ！"""
