Klaris_mb1_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb1_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#0,"""なにせ、ようやく得られた<br>外出許可なのだからな。<br>邪魔したら承知しないぞ、貴様。"""
Klaris_mb2_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb2_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#1,"""なにせ、ようやく得られた<br>外出許可なのだからな。<br>邪魔したら承知しないぞ、貴様。"""
Klaris_mb3_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb3_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#2,"""なにせ、ようやく得られた<br>外出許可なのだからな。<br>邪魔したら承知しないぞ、貴様。"""
Klaris_mb4_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb4_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#3,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb5_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb5_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#4,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb6_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb6_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#5,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb7_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb7_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#6,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb8_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb8_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#7,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb9_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb9_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#8,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb10_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb10_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#9,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb11_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb11_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#10,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb12_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb12_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#11,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb13_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb13_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5186_100#12,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb14_010#0,"""むー、むーむむむー……<br>はっ、な、なんだ貴様！<br>何か用なのか？"""
Klaris_mb14_020#0,"""用がないなら私のことは気にするな。<br>少し考え事をしているだけだからな。"""
11_voice_NPC_5186_105#0,"""うーん、うううーん……<br>いいのかな、いいのかなあ……"""
Klaris_mb15_010#0,"""むー、むーむむむー……<br>はっ、な、なんだ貴様！<br>何か用なのか？"""
Klaris_mb15_020#0,"""用がないなら私のことは気にするな。<br>少し考え事をしているだけだからな。"""
11_voice_NPC_5186_105#1,"""うーん、うううーん……<br>いいのかな、いいのかなあ……"""
Klaris_mb16_010#0,"""むー、むーむむむー……<br>はっ、な、なんだ貴様！<br>何か用なのか？"""
Klaris_mb16_020#0,"""用がないなら私のことは気にするな。<br>少し考え事をしているだけだからな。"""
11_voice_NPC_5186_105#2,"""うーん、うううーん……<br>いいのかな、いいのかなあ……"""
Klaris_mb16zeno_010#0,"""あ……<br>なんだ、貴様は逃げないのか？"""
Klaris_mb16zeno_020#0,"""私は……ううん、何でもない。<br>私のことなんて放っておいてくれ。"""
Klaris_mb16zeno_030#0,"""そのほうが、貴様のためだ。<br>私のことは、放っておいてくれ。"""
Klaris_mb17_010#0,"""……ああ、貴様か。<br>わざわざ話しに来てくれたのか？"""
Klaris_mb17_020#0,"""だけどすまない、もう少しだけ<br>私を一人にしてくれ……"""
Klaris_mb17_030#0,"""私は、私の中で、私のことを<br>もっときちんと整理しなければ……<br>誰とも向き合えないから……"""
Klaris_mb18_010#0,"""おお！\u3000貴様か！<br>元気そうだな、よしよし！"""
Klaris_mb18_020#0,"""みんなのために、と言うからには<br>もっとみんなのことをよく見て<br>よく知らねばならないからな。"""
Klaris_mb18_030#0,"""本当のことを言えば<br>不安もあったのだが……<br>貴様に会えて、ちょっと安心した。"""
11_voice_NPC_5186_100#13,"""私はいつでもここにいる。<br>何かあったら声をかけてくれ。<br>私も、貴様を頼らせてもらうからな。"""
Klaris_mb19_010#0,"""惑星ウォパルでルーサーに関連する<br>施設のあとが発見されたらしいぞ。"""
Klaris_mb19_020#0,"""たしか、あの惑星が発見されたのは<br>半年前のはずだが……まあ、それも<br>ルーサーの情報操作なんだろうな。"""
Klaris_mb19_030#0,"""……以前の私は、与えられた情報を<br>そのまま鵜呑みにするだけだった。<br>その情報も、そのまま信じていた。"""
11_voice_NPC_5186_100#14,"""でも、これからはそういうことが<br>ないように、自分でちゃんといろいろ<br>調べに行かないと、と思っているぞ。"""
Klaris_mb20_010#0,"""ここのところ、色々なことがありすぎて<br>私の頭が理解できる限界を<br>超えてしまった感があるぞ。"""
Klaris_mb20_020#0,"""……でも、まあ、ヒューイのことや<br>サラのこと、貴様のことさえ正しく<br>理解できていれば、それでいいか。"""
