un_012661_0010#0,"""......รึเปล่าคะ ได้ยินรึเปล่าคะ?<br>เฮ้อ โล่งอก ติดต่อได้สักที"""
un_012661_0020#0,"""ดูเหมือน Campship จะถูก<br>D-arkers ควบคุมให้ส่งออกไปเองน่ะค่ะ"""
un_012661_0030#0,"""สัญญาณก็ไม่ค่อยดี ภาพก็ไม่มี<br>ทางนี้เลยไม่รู้ว่าสถานการณ์ตรงนั้นเป็นไงบ้าง<br>ช่วยรายงานเข้ามาอย่างต่อเนื่องทีก็แล้วกันนะคะ"""
un_012661_0040#0,"""เอ๊ะ? รังของ D-arkers... เหรอคะ?<br>ไม่เคยได้รับรายงานมาก่อนเลยค่ะ<br>ว่ามีสถานที่แบบนั้นอยู่จริง"""
un_012661_0050#0,"""ยังไงตอนนี้ ก็ช่วยแก้ไข<br>เรื่องเฉพาะหน้าด้วยตัวเองไปก่อนนะคะ<br>เราจะส่งยานไปรับเดี๋ยวนี้ล่ะค่ะ"""
un_012661_0060#0,"""ไปให้ถึงตำแหน่งที่ส่งให้นี่นะคะ<br>ถ้าเป็นที่นั่นเราคงพอช่วยออกมาได้<br>พยายามเข้านะคะ"""
un_012661_0010#1,"""……ますか、聞こえますか？<br>ああ、よかった、通じました。"""
un_012661_0020#1,"""どうやら、キャンプシップが<br>ダーカーに強制転送されたようです。"""
un_012661_0030#1,"""通信状況が悪く、映像が入らないため<br>こちらからは、そちらがどのような<br>場所なのか不明です。報告願います。"""
un_012661_0040#1,"""え？ダーカーの巣…ですか？<br>そのような場所が存在するという報告は<br>これまで、受けたことがありませんが…"""
un_012661_0050#1,"""ともかく、そちらの座標は<br>つかめましたので、今から<br>迎えのキャンプシップを出します。"""
un_012661_0060#1,"""指定する座標まで向かってください。<br>そこでなら回収ができそうです。<br>よろしくお願いします。 """
