st_044115_0010#0,"""阿有弟弟？<br>阿有弟弟怎麼會在這裡？"""
st_044115_0020#0,"""……姐姐。"""
st_044115_0030#0,"""…………"""
st_044115_0040#0,"""不要哭了，姐姐。<br>不要傷心了，姐姐。"""
st_044115_0050#0,"""是姐姐和<%me><br>把我從黑暗之中救了出來。"""
st_044115_0060#0,"""所以，這次就該輪到我來救姐姐了！<br>……我是絕對，不會讓你死去的！"""
st_044115_0070#0,"""呀啊！"""
st_044115_0080#0,"""……這股力量，這股光子。<br>果然啊，果然如此。"""
st_044115_0090#0,"""我一直都在等待這次覺醒。<br>你的力量，可真是讓我苦等了好久啊！"""
st_044115_0100#0,"""火継！！<br>可惡，這他媽都怎麼了！<br>喂，雪拉小姐，火継怎麼樣了！"""
st_044115_0110#0,"""怎麼會……怎麼會這樣……！"""
st_044115_0120#0,"""……火継小姐的生命體徵恢復了！<br>她的傷……居然完全治好了！"""
st_044115_0130#0,"""什麼！？"""
st_044115_0140#0,"""難以置信，這是……復原？<br>是阿有弟弟的光子，移動到了火継小姐體內……<br>讓火継得以再生……！？"""
st_044115_0150#0,"""我說，奧菲艾爾！<br>我可100%沒聽說過這種事情！"""
st_044115_0160#0,"""別擔心奧庫，我也沒聽說過。<br>……不過若是這樣，也確實說得通<br>為什麼來這裡的會是我們了。"""
st_044115_0170#0,"""姐姐……已經沒事了。<br>所以，你就不要哭了…………"""
st_044115_0180#0,"""……捕捉目標。<br>奧庫，該上了。"""
st_044115_0190#0,"""切，他們盯上了阿有……！<br>休想得逞！"""
st_044115_0200#0,"""捕捉成功……<br>開始施展隔離術式。<br>將你切離此處。"""
st_044115_0210#0,"""居然切開了領域……！？<br>……那就這樣。"""
st_044115_0220#0,"""什麼……！"""
st_044115_0230#0,"""火継小姐！"""
st_044115_0240#0,"""沒能達成最佳結果。<br>……不過，次要目標倒是完成了。<br>看來到此為止了。"""
st_044115_0250#0,"""給、給我等等！"""
st_044115_0260#0,"""……反應……消失。<br>火継小姐的反應，也捕捉不到了。"""
st_044115_0270#0,"""…………呃！<br>可惡……媽的……！<br>火継！火継－－！！"""
st_044115_0280#0,"""……姐姐。<br>沒事了，姐姐。<br>有我……陪著你。"""
skit01#0,"""Why are you there?"""
skit02#0,"""悲哀的重逢"""
