st_065120_0091#0,"""マトイ！"""
st_065120_0092#0,"""マトイさん！"""
st_065120_0093#0,"""う、うん……ここは……？"""
st_065120_0094#0,"""……もしかして、アムドゥスキア？"""
st_065120_0095#0,"""ええ、シャオがここまで導いてくれたようです。"""
st_065120_0096#0,"""はぁ、よかった。二人とも無事みたいだね。"""
st_065120_0098#0,"""<%me>！"""
st_065120_0099#0,"""ただいま"""
st_065120_0100#0,"""ありがとう"""
st_065120_0101#0,"""それじゃ、帰ろっか。"""
st_065120_0102#0,"""ええ、皆さんが待っています。"""
st_065120_0103#0,"""うん！"""
st_065120_0104#0,"""ねぇ……<br><%me>。"""
st_065120_0105#0,"""さっきのは……夢、だったのかな？"""
st_065120_0110#0,"""……夢じゃない"""
st_065120_0120#0,"""……忘れない"""
st_065120_0130#0,"""……うん。"""
st_065120_0140#0,"""行こう。"""
st_065120_0150#0,"""わたしたちの、未来へ。"""
