AiPartner_DefaultName#0,"""MAI001"""
AiPartner_OutOfService#0,"""現在、応答不可の状態です。"""
AiPartner_ResponseTimeout#0,"""現在、応答不可の状態です。"""
AiPartner_ResponseWait#0,"""現在、応答待ちの状態です。しばらくお待ちください。"""
AiPartner_EnableArea#0,"""安全のため、対話プロセスはシティや<br>クリエイティブスペースなどの非戦闘区域でのみ実行できます。"""
AiPartner_RateLimit#0,"""現在、会話の上限に達しています。（待ち時間 $(0) 分）"""
Timeband_BeforeDawn#0,"""未明"""
Timeband_EarlyMorning#0,"""早朝"""
Timeband_Morning#0,"""朝"""
Timeband_BeforeNoon#0,"""午前"""
Timeband_Afternoon#0,"""午後"""
Timeband_Night#0,"""夜"""
Weather_Bad#0,"""悪天候"""
Weather_Fine#0,"""晴れ"""
Weather_Rain#0,"""雨"""
Weather_Thunder#0,"""雷"""
Weather_Storm#0,"""荒天"""
Weather_Snow#0,"""雪"""
Weather_Cloudy#0,"""曇り"""
Weather_Heat#0,"""酷暑"""
Weather_Dust#0,"""砂嵐"""
Weather_Meteor#0,"""流星"""
Weather_Aurora#0,"""オーロラ"""
Weather_Makai#0,"""魔界"""
