un_046050_0010#0,"""……あ、センパイ。<br>ちょうどいいところに。"""
un_046050_0020#0,"""１．ジョセフィーヌ？"""
un_046050_0030#0,"""２．……その子、どうしたの？"""
un_046050_0040#0,"""ジョセフィーヌ？<br>なんだそれ、この子の名前なのか？"""
un_046050_0050#0,"""おれにもよくわからないんだ。<br>いきなりびゅうっと飛んできてさ。"""
un_046050_0060#0,"""この子、あれだろ。<br>サモナーってクラスのペットだろ？<br>主に従順で、全力で尽くすっていう。"""
un_046050_0070#0,"""もしかしてセンパイのペット……<br>って感じじゃないな。"""
un_046050_0080#0,"""おーい、お前、自分の主をほっぽって<br>こんなところでのんびりしてていいのかー？"""
un_046050_0090#0,"""はははっ、人懐っこいやつだな、お前。<br>よしよし、良い子良い子。"""
un_046050_0100#0,"""ジョセフィィィーーーーヌゥーーーッ！"""
un_046050_0110#0,"""よかった、こんなところにいたんだね<br>ジョセフィーヌ！\u3000心配させないでおくれ！"""
un_046050_0120#0,"""ええと……もしかして、この子の主？"""
un_046050_0130#0,"""いかにも！\u3000僕はピエトロ！<br>君は、マイフレンドのフレンドかい？"""
un_046050_0140#0,"""フレンドというか、先輩後輩だけどな。<br>おれはイオ。よろしくな、ピエトロさん。"""
un_046050_0150#0,"""あはは、わかったわかった。<br>ジョセフィーヌも、改めてよろしくな。"""
un_046050_0160#0,"""さ、ジョセフィーヌ、帰ろうじゃないか。<br>あまり迷惑をかけるものではないよ。"""
un_046050_0170#0,"""あいたっ！\u3000じょ、ジョセフィーヌ……何故……！<br>僕の愛がまだ足りないっていうのかい！"""
un_046050_0180#0,"""……その過剰な愛が嫌なんじゃないか？"""
un_046050_0190#0,"""ほら、ジョセフィーヌ。<br>ピエトロさんの所に戻りな。<br>お前の居場所はここじゃないよ。"""
un_046050_0200#0,"""……そんな名残惜しそうな顔をするなよ。<br>おれはいつでもここにいるからさ。<br>会いたくなったら、またおいで。"""
un_046050_0210#0,"""ンンンーッ！\u3000ジョセッフィーンヌゥ！<br>おかえり！\u3000もう君のことを離さないよ！<br>大好きだよジョセフィーヌ！"""
