Name#0,"""オプタ"""
Trouble#0,"""ちっ！\u3000ドジっちまった！<br>一旦下がらせてもらうぜ！"""
PassMessage#0,"""ゴキゲンに偵察中だぜー"""
PassMessage2#0,"""編隊偵察は気楽でいいね、っと"""
DropHelpItem#0,"""救援物資を持ってきたぞーっと"""
DropEnemy#0,"""今のブツ、なーんかおかしかったような……<br>まぁ、いいか"""
Shooting#0,"""おらおら、援護射撃のお通りだ！"""
FallMessage#0,"""あっちゃあ、限界か！<br>慌てず騒がず不時着、っと"""
RequestDefense#0,"""故障箇所を修理する！<br>しばらく援護を頼むぜ！"""
RequestDefense2#0,"""あーらら、結構ハデにやられてら……<br>修理の間、援護を頼むぜ！"""
EnemyFront#0,"""前方から来るぞ、気を付けろ！"""
EnemyRight#0,"""右舷から来るぞ、気を付けろ！"""
EnemyBack#0,"""後方から来るぞ、気を付けろ！"""
EnemyLeft#0,"""左舷から来るぞ、気を付けろ！"""
Broken#0,"""おいおい敵さん必死だねえ……<br>このままだとちょいとマズいぜ？"""
Destroy#0,"""何事もあきらめが肝心！<br>脱出するぜ！"""
SuccessDefence#0,"""修理完了っと！<br>援護感謝するぜ！"""
EvFallMessage#0,"""ってあらら、こりゃまたヤバいかな？<br>悪い、もっかい不時着するぜ！"""
EvRequestDefense#0,"""うーわ、こりゃひどいな……<br>毎度すまんが、修理中の援護を頼む！"""
EvBroken#0,"""ぼろぼろにされちまってるが<br>それなりに愛着あるんでね……！"""
EvDestroy#0,"""何事も引き際が肝心！<br>すまんな、脱出する！"""
EvSuccessDefence#0,"""ふーい、ぎりぎりってところだな<br>援護感謝するぜ、ありがとよ！"""
EvDarker#0,"""あっちゃあ、こりゃダメだ！<br>言う事聞かなくなっちまった！<br>脱出する！"""
Trouble#1,"""ミスったな、くそ！<br>一旦下がるぜ、悪しからず！"""
PassMessage#1,"""偵察飛行中<br>見晴らし良好よーそろー"""
PassMessage2#1,"""偵察飛行隊のお通りだぜー！"""
DropHelpItem#1,"""お待ちかねの物資を持ってきたぜ！<br>ちょいと乱暴だが、受け取れ！"""
DropEnemy#1,"""しっかし、ずいぶん重い物資だったな"""
Shooting#1,"""巻き込みはしねえ、安心しろ！<br>そら、援護行くぜ！"""
FallMessage#1,"""ちっ、ドジっちまった！<br>不時着する！"""
RequestDefense#1,"""こりゃちょいとかかるな……<br>修理の間、援護を要請する！"""
RequestDefense2#1,"""ありゃりゃりゃ、こいつはひでえな<br>修理する。援護を頼むぜ！"""
EnemyFront#1,"""前方から来るぞ、気を付けろ！"""
EnemyRight#1,"""右舷から来るぞ、気を付けろ！"""
EnemyBack#1,"""後方から来るぞ、気を付けろ！"""
EnemyLeft#1,"""左舷から来るぞ、気を付けろ！"""
Broken#1,"""これ以上はちっとキツイな……<br>しっかり守ってくれよ、頼むぜ！"""
Destroy#1,"""あっちゃー、こりゃ始末書だな……<br>すまん、脱出する！"""
SuccessDefence#1,"""よーっし、始末書回避……もとい<br>コントロール回復だ！\u3000ありがとよ！"""
EvFallMessage#1,"""持ちそうに見えるだろ？<br>持たねえんだこれ……不時着する！"""
EvRequestDefense#1,"""こんぐらい壊れてた方が<br>直しがいがあるってね……<br>修理中の護衛は頼むぜ！"""
EvBroken#1,"""こなくそ！\u3000よってたかって<br>こっちばっか狙ってくるんじゃねえよ！"""
EvDestroy#1,"""何事も引き際が肝心！<br>すまんな、脱出する！"""
EvSuccessDefence#1,"""ふーい、ぎりぎりってところだな<br>援護感謝するぜ、ありがとよ！"""
EvDarker#1,"""あっちゃあ、こりゃダメだ！<br>言う事聞かなくなっちまった！<br>脱出する！"""
Trouble#2,"""機械にトラブルはつきものってね！<br>すまんが一旦下がるぜ！"""
PassMessage#2,"""さーって、敵さんはどこかなーっと"""
PassMessage2#2,"""偵察隊がこれだけいりゃあ<br>大抵のものは見逃さねえよ！"""
DropHelpItem#2,"""ほらよ、救援物資だ！<br>しっかり活用してくれよ、っと！"""
DropEnemy#2,"""しっかし、救援物資ってのは<br>あんなに重いもんだったか？"""
Shooting#2,"""これより援護射撃を行うぜ！<br>一気に畳みかけろ！"""
FallMessage#2,"""ちっ、無理が過ぎたか！<br>仕方がねえ、不時着するぜ！"""
RequestDefense#2,"""ちゃっちゃか修理しちまうから<br>その間、敵さんの相手を頼むぜ！"""
RequestDefense2#2,"""うーわ、これの修理は骨が折れるな……<br>ま、やるしかねえか！\u3000少しの間、護衛を頼む！"""
EnemyFront#2,"""前方から来るぞ、気を付けろ！"""
EnemyRight#2,"""右舷から来るぞ、気を付けろ！"""
EnemyBack#2,"""後方から来るぞ、気を付けろ！"""
EnemyLeft#2,"""左舷から来るぞ、気を付けろ！"""
Broken#2,"""あっはっは、直した矢先に壊されてく<br>もう笑うしかねえなチクショウめ！"""
Destroy#2,"""あーっくそ！\u3000これ以上は無理だ！<br>すまん、脱出する！"""
SuccessDefence#2,"""ふぃー、なんとか持ち直したぜ<br>援護ありがとよ！\u3000これでまた飛べる！"""
EvFallMessage#2,"""ええい、飛んだり飛ばなかったり<br>だだっ子かよ、クソ！\u3000不時着する！"""
EvRequestDefense#2,"""どんな状態であっても直すしかねえ<br>すまんが、護衛を頼むぜ！"""
EvBroken#2,"""これ以上はマジで無理だ！<br>さすがの俺でも音を上げるぞ！"""
EvDestroy#2,"""何事も引き際が肝心！<br>すまんな、脱出する！"""
EvSuccessDefence#2,"""ふーい、ぎりぎりってところだな<br>援護感謝するぜ、ありがとよ！"""
EvDarker#2,"""あっちゃあ、こりゃダメだ！<br>言う事聞かなくなっちまった！<br>脱出する！"""
