st_055040_0010#0,"""……【巨躯】の出現に続いて<br>ルーサーが変貌、か。"""
st_055040_0020#0,"""まるで、こちらの世界の出来事を<br>なぞっているかのようだね。"""
st_055040_0030#0,"""……シャオ、オメガで起きている事は<br>本当にアカシックレコードの<br>乱雑な記録、なんでしょうか。"""
st_055040_0040#0,"""出来事自体は独立していて断片的。<br>だけども、そのすべてに関連性がある。<br>……すごく、依っています。"""
st_055040_0050#0,"""フォトナーがらみの関連性だね。"""
st_055040_0060#0,"""はい。まるで、フォトナーに関連する<br>誰かの記憶を追体験しているようで<br>……素直に、不気味です。"""
st_055040_0070#0,"""記憶も記録。<br>アカシックレコードの記録の再現で<br>あることは間違いないと思うよ。"""
st_055040_0080#0,"""ただ、それが何らかの介入によって<br>傾向を持つというのはあるかも。"""
st_055040_0090#0,"""夢もさ、直前に読んだものや<br>会った人の影響を受けて変わるじゃん。<br>あれと同じ感じなんじゃないかな。"""
st_055040_0100#0,"""【深遠なる闇】が混じったからこそ<br>それに関連した事象が起きる、と？"""
st_055040_0110#0,"""うん。<br>確証がないから<br>可能性論になっちゃうけど。"""
st_055040_0120#0,"""あるいは、<%me>や<br>シエラが関与しているからこそ<br>こちら側に依っている、か……"""
st_055040_0130#0,"""何にせよ、放ってはおけない。<br><%me>とシエラは<br>引き続き、オメガの調査を頼むよ。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
